# W  results  stat. err
3.153000e+01  4.632987e+02  7.234653e+00
9.711000e+01  1.005380e+03  1.537804e+01
1.246900e+02  1.198472e+03  1.826592e+01
1.601000e+02  1.429610e+03  2.163039e+01
4.931400e+02  3.201445e+03  4.640368e+01
6.332100e+02  3.844592e+03  5.560952e+01
8.130500e+02  4.625322e+03  6.718010e+01
4.050000e+01  5.488086e+02  8.476526e+00
4.590000e+01  5.977655e+02  9.202282e+00
5.200000e+01  6.512187e+02  1.000311e+01
2.990000e+02  2.229912e+03  3.285571e+01
3.390000e+02  2.440437e+03  3.577355e+01
3.840000e+02  2.669987e+03  3.896062e+01
5.040000e+01  5.146223e-01  1.580788e-02
7.310000e+01  6.717533e-01  2.145871e-02
1.299000e+02  1.047478e+00  3.861598e-02
1.933000e+02  1.450098e+00  6.113275e-02
3.912000e+02  2.645672e+00  1.430781e-01
4.320000e+01  4.634019e-01  1.423670e-02
5.000000e+01  5.117976e-01  1.571722e-02
5.730000e+01  5.630075e-01  1.742609e-02
6.530000e+01  6.183882e-01  1.941632e-02
7.390000e+01  6.771951e-01  2.167340e-02
8.320000e+01  7.400680e-01  2.423479e-02
9.330000e+01  8.076230e-01  2.714345e-02
1.043000e+02  8.804553e-01  3.044708e-02
4.250000e+01  4.583767e-01  1.409144e-02
5.500000e+01  5.469480e-01  1.687577e-02
6.500000e+01  6.163239e-01  1.933969e-02
7.500000e+01  6.846685e-01  2.197010e-02
8.500000e+01  7.521598e-01  2.474387e-02
1.000000e+02  8.520699e-01  2.913966e-02
1.175000e+02  9.669710e-01  3.458050e-02
1.325000e+02  1.064272e+00  3.947960e-02
1.550000e+02  1.208503e+00  4.718501e-02
1.850000e+02  1.398114e+00  5.803107e-02
2.150000e+02  1.585138e+00  6.942335e-02
2.450000e+02  1.769946e+00  8.126474e-02
2.750000e+02  1.952800e+00  9.347396e-02
4.260000e+02  2.849070e+00  1.583624e-01
4.830000e+02  3.178646e+00  1.835724e-01
5.470000e+02  3.543799e+00  2.119297e-01
6.200000e+02  3.954480e+00  2.440760e-01
7.020000e+02  4.408960e+00  2.796455e-01
7.960000e+02  4.921717e+00  3.194071e-01
9.020000e+02  5.490150e+00  3.626358e-01
1.022000e+03  6.122049e+00  4.092279e-01
1.158000e+03  6.824363e+00  4.587892e-01
1.312000e+03  7.603155e+00  5.106182e-01
5.809680e+02  3.735638e+00  2.269293e-01
6.583230e+02  4.167750e+00  2.607867e-01
7.459770e+02  4.649904e+00  2.983991e-01
8.453030e+02  5.187352e+00  3.397420e-01
9.578540e+02  5.785748e+00  3.846458e-01
1.085391e+03  6.451171e+00  4.327672e-01
1.229909e+03  7.190115e+00  4.835600e-01
1.393669e+03  8.009485e+00  5.362540e-01
1.579234e+03  8.916578e+00  5.898430e-01
1.000000e-01  4.420096e-01  1.252257e-01
2.900000e-01  5.781692e-01  7.514892e-02
5.200000e-01  5.702940e-01  4.282234e-02
7.800000e-01  4.772494e-01  2.769784e-02
1.120000e+00  3.396944e-01  1.780234e-02
1.550000e+00  2.012692e-01  1.083372e-02
2.210000e+00  9.036736e-02  5.408171e-03
2.000000e-02  4.506507e+00  7.961153e-02
8.000000e-02  2.845398e+00  5.847713e-02
1.400000e-01  1.794660e+00  4.722759e-02
2.100000e-01  1.046730e+00  3.798707e-02
3.000000e-01  5.220677e-01  2.735118e-02
4.100000e-01  2.220541e-01  1.753675e-02
5.800000e-01  5.842942e-02  8.364919e-03
9.000000e-01  4.611384e-03  2.180456e-03
