# W  results  stat. err
3.153000e+01  5.569305e+01  1.262122e+00
9.711000e+01  4.762111e+02  1.056146e+01
1.246900e+02  7.546028e+02  1.650605e+01
1.601000e+02  1.184575e+03  2.533094e+01
4.931400e+02  7.828959e+03  1.433599e+02
6.332100e+02  1.148261e+04  2.037873e+02
8.130500e+02  1.658575e+04  2.871824e+02
4.050000e+01  9.036590e+01  2.033781e+00
4.590000e+01  1.150150e+02  2.583674e+00
5.200000e+01  1.461653e+02  3.279077e+00
2.990000e+02  3.486975e+03  6.864544e+01
3.390000e+02  4.293109e+03  8.295759e+01
3.840000e+02  5.260475e+03  9.979847e+01
5.040000e+01  1.187802e-01  7.701931e-03
7.310000e+01  2.345184e-01  1.519153e-02
1.299000e+02  6.792360e-01  4.699352e-02
1.933000e+02  1.419144e+00  1.055574e-01
3.912000e+02  5.174088e+00  4.382450e-01
4.320000e+01  8.984869e-02  5.908371e-03
5.000000e+01  1.170731e-01  7.595130e-03
5.730000e+01  1.500576e-01  9.679154e-03
6.530000e+01  1.906094e-01  1.229636e-02
7.390000e+01  2.392635e-01  1.550791e-02
8.320000e+01  2.976898e-01  1.945501e-02
9.330000e+01  3.678753e-01  2.431027e-02
1.043000e+02  4.521608e-01  3.028268e-02
4.250000e+01  8.723986e-02  5.748405e-03
5.500000e+01  1.392487e-01  8.991574e-03
6.500000e+01  1.890063e-01  1.219183e-02
7.500000e+01  2.458610e-01  1.594890e-02
8.500000e+01  3.096878e-01  2.027666e-02
1.000000e+02  4.182476e-01  2.786240e-02
1.175000e+02  5.639104e-01  3.840469e-02
1.325000e+02  7.046712e-01  4.891290e-02
1.550000e+02  9.426227e-01  6.724589e-02
1.850000e+02  1.308411e+00  9.649785e-02
2.150000e+02  1.727681e+00  1.312047e-01
2.450000e+02  2.198460e+00  1.712731e-01
2.750000e+02  2.718927e+00  2.165715e-01
4.260000e+02  6.036800e+00  5.178048e-01
4.830000e+02  7.568186e+00  6.598838e-01
5.470000e+02  9.454358e+00  8.353274e-01
6.200000e+02  1.180880e+01  1.053666e+00
7.020000e+02  1.469569e+01  1.318922e+00
7.960000e+02  1.829927e+01  1.644719e+00
9.020000e+02  2.271283e+01  2.034322e+00
1.022000e+03  2.812219e+01  2.496649e+00
1.158000e+03  3.473846e+01  3.039075e+00
1.312000e+03  4.279712e+01  3.666336e+00
5.809680e+02  1.052377e+01  9.346593e-01
6.583230e+02  1.312710e+01  1.175203e+00
7.459770e+02  1.634378e+01  1.468728e+00
8.453030e+02  2.030766e+01  1.823353e+00
9.578540e+02  2.517822e+01  2.247139e+00
1.085391e+03  3.114464e+01  2.747572e+00
1.229909e+03  3.842995e+01  3.330872e+00
1.393669e+03  4.729551e+01  4.001170e+00
1.579234e+03  5.804563e+01  4.759557e+00
1.000000e-01  7.620807e-01  2.104994e-01
2.900000e-01  5.521765e-01  1.190082e-01
5.200000e-01  3.559760e-01  6.675766e-02
7.800000e-01  2.079460e-01  3.704652e-02
1.120000e+00  1.040811e-01  1.809534e-02
1.550000e+00  4.574899e-02  8.188718e-03
2.210000e+00  1.544801e-02  2.862061e-03
2.000000e-02  1.586715e+00  7.359298e-02
8.000000e-02  9.856530e-01  4.993271e-02
1.400000e-01  6.219534e-01  3.598264e-02
2.100000e-01  3.691104e-01  2.556379e-02
3.000000e-01  1.923385e-01  1.673168e-02
4.100000e-01  8.930886e-02  1.002971e-02
5.800000e-01  2.932643e-02  4.743180e-03
9.000000e-01  4.929594e-03  1.476101e-03
