# W  results  stat. err
3.153000e+01  1.183223e+03  1.657182e+01
9.711000e+01  2.341914e+03  3.312313e+01
1.246900e+02  2.739969e+03  3.875222e+01
1.601000e+02  3.213077e+03  4.515132e+01
4.931400e+02  6.741682e+03  8.978751e+01
6.332100e+02  7.982126e+03  1.060253e+02
8.130500e+02  9.461093e+03  1.264342e+02
4.050000e+01  1.373576e+03  1.915429e+01
4.590000e+01  1.480690e+03  2.065545e+01
5.200000e+01  1.596390e+03  2.230381e+01
2.990000e+02  4.827803e+03  6.570378e+01
3.390000e+02  5.246748e+03  7.092895e+01
3.840000e+02  5.700863e+03  7.660603e+01
5.040000e+01  1.417593e+00  2.594198e-02
7.310000e+01  1.802921e+00  3.425064e-02
1.299000e+02  2.674068e+00  5.758316e-02
1.933000e+02  3.563602e+00  8.614383e-02
3.912000e+02  6.088379e+00  1.826101e-01
4.320000e+01  1.287671e+00  2.351290e-02
5.000000e+01  1.410493e+00  2.580378e-02
5.730000e+01  1.538153e+00  2.837702e-02
6.530000e+01  1.673957e+00  3.130512e-02
7.390000e+01  1.815977e+00  3.455728e-02
8.320000e+01  1.965679e+00  3.817770e-02
9.330000e+01  2.124406e+00  4.221512e-02
1.043000e+02  2.293401e+00  4.672187e-02
4.250000e+01  1.274780e+00  2.328405e-02
5.500000e+01  1.498351e+00  2.755515e-02
6.500000e+01  1.668933e+00  3.119352e-02
7.500000e+01  1.833881e+00  3.498019e-02
8.500000e+01  1.994243e+00  3.888961e-02
1.000000e+02  2.227781e+00  4.494743e-02
1.175000e+02  2.491667e+00  5.226236e-02
1.325000e+02  2.711891e+00  5.871183e-02
1.550000e+02  3.033836e+00  6.864784e-02
1.850000e+02  3.450471e+00  8.229863e-02
2.150000e+02  3.855616e+00  9.631577e-02
2.450000e+02  4.251478e+00  1.106186e-01
2.750000e+02  4.639623e+00  1.251423e-01
4.260000e+02  6.509162e+00  1.999893e-01
4.830000e+02  7.188241e+00  2.284498e-01
5.470000e+02  7.937865e+00  2.602597e-01
6.200000e+02  8.778924e+00  2.961841e-01
7.020000e+02  9.708686e+00  3.359014e-01
7.960000e+02  1.075804e+01  3.804142e-01
9.020000e+02  1.192354e+01  4.291229e-01
1.022000e+03  1.322369e+01  4.821993e-01
1.158000e+03  1.467623e+01  5.395770e-01
1.312000e+03  1.629822e+01  6.009307e-01
5.809680e+02  8.330930e+00  2.770330e-01
6.583230e+02  9.215270e+00  3.148398e-01
7.459770e+02  1.020164e+01  3.568716e-01
8.453030e+02  1.130231e+01  4.032751e-01
9.578540e+02  1.253104e+01  4.541078e-01
1.085391e+03  1.390329e+01  5.093153e-01
1.229909e+03  1.543639e+01  5.687039e-01
1.393669e+03  1.714981e+01  6.319159e-01
1.579234e+03  1.906540e+01  6.984063e-01
1.000000e-01  4.164797e-01  1.948604e-01
2.900000e-01  4.638559e-01  1.019244e-01
5.200000e-01  3.779428e-01  4.529262e-02
7.800000e-01  2.351374e-01  1.875271e-02
1.120000e+00  1.156355e-01  7.231997e-03
1.550000e+00  5.258647e-02  3.073439e-03
2.210000e+00  2.464260e-02  1.424333e-03
2.000000e-02  1.135330e+01  1.359510e-01
8.000000e-02  7.396923e+00  9.777884e-02
1.400000e-01  4.816364e+00  7.666444e-02
2.100000e-01  2.916985e+00  6.014130e-02
3.000000e-01  1.528631e+00  4.320284e-02
4.100000e-01  6.931578e-01  2.780716e-02
5.800000e-01  2.041854e-01  1.333487e-02
9.000000e-01  2.145337e-02  3.295425e-03
