# W  results  stat. err
3.153000e+01  3.635930e+02  6.260225e+00
9.711000e+01  4.534182e+02  7.826932e+00
1.246900e+02  4.778485e+02  8.251008e+00
1.601000e+02  5.042854e+02  8.707207e+00
4.931400e+02  6.561186e+02  1.131475e+01
6.332100e+02  6.995003e+02  1.206559e+01
8.130500e+02  7.474934e+02  1.290217e+01
4.050000e+01  3.811287e+02  6.565076e+00
4.590000e+01  3.903726e+02  6.726285e+00
5.200000e+01  3.999254e+02  6.893099e+00
2.990000e+02  5.809290e+02  1.002221e+01
3.390000e+02  5.984922e+02  1.032344e+01
3.840000e+02  6.167544e+02  1.063701e+01
5.040000e+01  4.594876e-01  1.814661e-02
7.310000e+01  4.965532e-01  2.026852e-02
1.299000e+02  5.623295e-01  2.591174e-02
1.933000e+02  6.153405e-01  3.176352e-02
3.912000e+02  7.296091e-01  4.649287e-02
4.320000e+01  4.451685e-01  1.758514e-02
5.000000e+01  4.587334e-01  1.811310e-02
5.730000e+01  4.718554e-01  1.875413e-02
6.530000e+01  4.849017e-01  1.950676e-02
7.390000e+01  4.976969e-01  2.034762e-02
8.320000e+01  5.103874e-01  2.127475e-02
9.330000e+01  5.230798e-01  2.228854e-02
1.043000e+02  5.358520e-01  2.339029e-02
4.250000e+01  4.436839e-01  1.753632e-02
5.500000e+01  4.678604e-01  1.854617e-02
6.500000e+01  4.844340e-01  1.947791e-02
7.500000e+01  4.992552e-01  2.045660e-02
8.500000e+01  5.127259e-01  2.145522e-02
1.000000e+02  5.309764e-01  2.296040e-02
1.175000e+02  5.500007e-01  2.469976e-02
1.325000e+02  5.648117e-01  2.616332e-02
1.550000e+02  5.850297e-01  2.830015e-02
1.850000e+02  6.091343e-01  3.103173e-02
2.150000e+02  6.307819e-01  3.362857e-02
2.450000e+02  6.505449e-01  3.609571e-02
2.750000e+02  6.688088e-01  3.844011e-02
4.260000e+02  7.455759e-01  4.862403e-02
4.830000e+02  7.700964e-01  5.187204e-02
5.470000e+02  7.956326e-01  5.519345e-02
6.200000e+02  8.226753e-01  5.860816e-02
7.020000e+02  8.509056e-01  6.202510e-02
7.960000e+02  8.810038e-01  6.546630e-02
9.020000e+02  9.125922e-01  6.881997e-02
1.022000e+03  9.459119e-01  7.204065e-02
1.158000e+03  9.811293e-01  7.506617e-02
1.312000e+03  1.018355e+00  7.782388e-02
5.809680e+02  8.084655e-01  5.682909e-02
6.583230e+02  8.361241e-01  6.025684e-02
7.459770e+02  8.652587e-01  6.369414e-02
8.453030e+02  8.959765e-01  6.709071e-02
9.578540e+02  9.283924e-01  7.038935e-02
1.085391e+03  9.626314e-01  7.352673e-02
1.229909e+03  9.988286e-01  7.643445e-02
1.393669e+03  1.037131e+00  7.904070e-02
1.579234e+03  1.077698e+00  8.127223e-02
1.000000e-01  4.212853e-01  1.167017e-01
2.900000e-01  4.962204e-01  7.652816e-02
5.200000e-01  4.837412e-01  4.890418e-02
7.800000e-01  4.063800e-01  3.237556e-02
1.120000e+00  3.029018e-01  2.107440e-02
1.550000e+00  2.076872e-01  1.284710e-02
2.210000e+00  1.204551e-01  6.534306e-03
2.000000e-02  2.625325e+00  6.227847e-02
8.000000e-02  1.830933e+00  4.841407e-02
1.400000e-01  1.278858e+00  4.000570e-02
2.100000e-01  8.431237e-01  3.298254e-02
3.000000e-01  4.953819e-01  2.542523e-02
4.100000e-01  2.605590e-01  1.806098e-02
5.800000e-01  9.833881e-02  1.033395e-02
9.000000e-01  1.711430e-02  3.674352e-03
