# W  results  stat. err
3.153000e+01  1.794887e+01  2.662145e-01
9.711000e+01  3.480988e+01  5.325704e-01
1.246900e+02  4.036320e+01  6.202186e-01
1.601000e+02  4.681551e+01  7.205616e-01
4.931400e+02  9.232419e+01  1.423932e+00
6.332100e+02  1.078542e+02  1.674140e+00
8.130500e+02  1.262944e+02  1.982382e+00
4.050000e+01  2.078731e+01  3.101634e-01
4.590000e+01  2.237360e+01  3.350209e-01
5.200000e+01  2.407763e+01  3.618939e-01
2.990000e+02  6.803040e+01  1.045770e+00
3.390000e+02  7.340227e+01  1.128368e+00
3.840000e+02  7.918507e+01  1.217821e+00
5.040000e+01  7.359546e-02  2.077555e-03
7.310000e+01  9.301499e-02  2.687404e-03
1.299000e+02  1.378685e-01  4.379295e-03
1.933000e+02  1.837785e-01  6.393229e-03
3.912000e+02  3.101039e-01  1.280156e-02
4.320000e+01  6.718064e-02  1.900210e-03
5.000000e+01  7.324271e-02  2.067434e-03
5.730000e+01  7.961812e-02  2.256172e-03
6.530000e+01  8.646499e-02  2.471229e-03
7.390000e+01  9.368029e-02  2.709887e-03
8.320000e+01  1.013321e-01  2.974949e-03
9.330000e+01  1.094834e-01  3.269518e-03
1.043000e+02  1.181922e-01  3.596893e-03
4.250000e+01  6.654927e-02  1.883585e-03
5.500000e+01  7.762329e-02  2.195838e-03
6.500000e+01  8.621068e-02  2.463033e-03
7.500000e+01  9.459318e-02  2.740889e-03
8.500000e+01  1.027964e-01  3.026973e-03
1.000000e+02  1.148077e-01  3.468183e-03
1.175000e+02  1.284343e-01  3.997178e-03
1.325000e+02  1.398253e-01  4.460063e-03
1.550000e+02  1.564745e-01  5.166797e-03
1.850000e+02  1.779622e-01  6.125596e-03
2.150000e+02  1.987450e-01  7.096236e-03
2.450000e+02  2.189097e-01  8.072965e-03
2.750000e+02  2.385217e-01  9.051374e-03
4.260000e+02  3.303780e-01  1.390038e-02
4.830000e+02  3.625875e-01  1.566689e-02
5.470000e+02  3.974080e-01  1.759488e-02
6.200000e+02  4.355615e-01  1.971586e-02
7.020000e+02  4.766310e-01  2.199377e-02
7.960000e+02  5.216210e-01  2.446581e-02
9.020000e+02  5.699543e-01  2.707541e-02
1.022000e+03  6.219259e-01  2.980741e-02
1.158000e+03  6.776833e-01  3.263088e-02
1.312000e+03  7.372340e-01  3.549999e-02
5.809680e+02  4.153585e-01  1.859248e-02
6.583230e+02  4.549792e-01  2.079443e-02
7.459770e+02  4.979430e-01  2.316886e-02
8.453030e+02  5.444021e-01  2.570289e-02
9.578540e+02  5.944881e-01  2.837587e-02
1.085391e+03  6.483082e-01  3.115856e-02
1.229909e+03  7.059378e-01  3.401240e-02
1.393669e+03  7.674139e-01  3.688925e-02
1.579234e+03  8.327277e-01  3.973161e-02
1.000000e-01  9.606122e-03  4.917500e-03
2.900000e-01  1.145537e-02  4.273198e-03
5.200000e-01  1.432578e-02  3.719949e-03
7.800000e-01  1.636602e-02  3.075517e-03
1.120000e+00  1.662334e-02  2.266408e-03
1.550000e+00  1.487324e-02  1.509477e-03
2.210000e+00  1.044771e-02  7.670458e-04
2.000000e-02  1.793842e-01  2.589218e-03
8.000000e-02  1.593597e-01  2.370793e-03
1.400000e-01  1.419792e-01  2.235712e-03
2.100000e-01  1.239372e-01  2.130294e-03
3.000000e-01  1.035444e-01  2.023990e-03
4.100000e-01  8.340709e-02  1.921730e-03
5.800000e-01  6.027306e-02  1.763866e-03
9.000000e-01  3.214327e-02  1.377418e-03
