# W  results  stat. err
3.153000e+01  7.263056e+03  1.583180e+02
9.711000e+01  8.827053e+03  1.901496e+02
1.246900e+02  9.254224e+03  1.993315e+02
1.601000e+02  9.711731e+03  2.085031e+02
4.931400e+02  1.226311e+04  2.561002e+02
6.332100e+02  1.297494e+04  2.705264e+02
8.130500e+02  1.375598e+04  2.875894e+02
4.050000e+01  7.561813e+03  1.632102e+02
4.590000e+01  7.721532e+03  1.662288e+02
5.200000e+01  7.887743e+03  1.695767e+02
2.990000e+02  1.101333e+04  2.326114e+02
3.390000e+02  1.130733e+04  2.379981e+02
3.840000e+02  1.161163e+04  2.436416e+02
5.040000e+01  2.192314e+01  9.443456e-01
7.310000e+01  2.382734e+01  1.054609e+00
1.299000e+02  2.793119e+01  1.386548e+00
1.933000e+02  3.165086e+01  1.752924e+00
3.912000e+02  4.009920e+01  2.714213e+00
4.320000e+01  2.129710e+01  9.204014e-01
5.000000e+01  2.188847e+01  9.427982e-01
5.730000e+01  2.251649e+01  9.739161e-01
6.530000e+01  2.318951e+01  1.013145e+00
7.390000e+01  2.389168e+01  1.058990e+00
8.320000e+01  2.462495e+01  1.111171e+00
9.330000e+01  2.539112e+01  1.169639e+00
1.043000e+02  2.619162e+01  1.234459e+00
4.250000e+01  2.123625e+01  9.186078e-01
5.500000e+01  2.231984e+01  9.635200e-01
6.500000e+01  2.316460e+01  1.011604e+00
7.500000e+01  2.397983e+01  1.065046e+00
8.500000e+01  2.476376e+01  1.121482e+00
1.000000e+02  2.588276e+01  1.209027e+00
1.175000e+02  2.710890e+01  1.312875e+00
1.325000e+02  2.809909e+01  1.401956e+00
1.550000e+02  2.949237e+01  1.534223e+00
1.850000e+02  3.120334e+01  1.706337e+00
2.150000e+02  3.277413e+01  1.872427e+00
2.450000e+02  3.422761e+01  2.031945e+00
2.750000e+02  3.558121e+01  2.184717e+00
4.260000e+02  4.127612e+01  2.854593e+00
4.830000e+02  4.306665e+01  3.067882e+00
5.470000e+02  4.490328e+01  3.284411e+00
6.200000e+02  4.680999e+01  3.504333e+00
7.020000e+02  4.875165e+01  3.720420e+00
7.960000e+02  5.076030e+01  3.932414e+00
9.020000e+02  5.279414e+01  4.131525e+00
1.022000e+03  5.485163e+01  4.313089e+00
1.158000e+03  5.692385e+01  4.471423e+00
1.312000e+03  5.899645e+01  4.600441e+00
5.809680e+02  4.581341e+01  3.390164e+00
6.583230e+02  4.774159e+01  3.609181e+00
7.459770e+02  4.971780e+01  3.824062e+00
8.453030e+02  5.173414e+01  4.029934e+00
9.578540e+02  5.378132e+01  4.221388e+00
1.085391e+03  5.584877e+01  4.392632e+00
1.229909e+03  5.792454e+01  4.537686e+00
1.393669e+03  5.999533e+01  4.650634e+00
1.579234e+03  6.204648e+01  4.725915e+00
1.000000e-01  2.338375e+01  5.659102e+00
2.900000e-01  1.385470e+01  3.210369e+00
5.200000e-01  7.901917e+00  1.736418e+00
7.800000e-01  4.375122e+00  9.187445e-01
1.120000e+00  2.133237e+00  4.269497e-01
1.550000e+00  9.563673e-01  1.776967e-01
2.210000e+00  3.801530e-01  5.955228e-02
2.000000e-02  6.560768e+01  2.808654e+00
8.000000e-02  5.352352e+01  2.295946e+00
1.400000e-01  4.406975e+01  1.899684e+00
2.100000e-01  3.547591e+01  1.541586e+00
3.000000e-01  2.718230e+01  1.195412e+00
4.100000e-01  1.994312e+01  8.901297e-01
5.800000e-01  1.269285e+01  5.780748e-01
9.000000e-01  5.772543e+00  2.701972e-01
