# W  results  stat. err
3.153000e+01  7.363668e+03  1.084247e+02
9.711000e+01  8.697337e+03  1.285931e+02
1.246900e+02  9.051192e+03  1.341393e+02
1.601000e+02  9.429511e+03  1.397304e+02
4.931400e+02  1.153546e+04  1.681514e+02
6.332100e+02  1.212221e+04  1.761867e+02
8.130500e+02  1.276561e+04  1.853293e+02
4.050000e+01  7.627487e+03  1.118550e+02
4.590000e+01  7.765988e+03  1.138432e+02
5.200000e+01  7.908650e+03  1.159880e+02
2.990000e+02  1.050447e+04  1.544210e+02
3.390000e+02  1.074709e+04  1.576379e+02
3.840000e+02  1.099815e+04  1.609667e+02
5.040000e+01  7.978154e+00  2.721951e-01
7.310000e+01  8.508242e+00  2.992539e-01
1.299000e+02  9.473139e+00  3.736145e-01
1.933000e+02  1.026357e+01  4.508685e-01
3.912000e+02  1.197839e+01  6.430567e-01
4.320000e+01  7.777124e+00  2.655296e-01
5.000000e+01  7.967507e+00  2.717855e-01
5.730000e+01  8.153593e+00  2.797675e-01
6.530000e+01  8.340271e+00  2.893826e-01
7.390000e+01  8.524789e+00  3.002843e-01
8.320000e+01  8.709038e+00  3.124116e-01
9.330000e+01  8.894405e+00  3.257440e-01
1.043000e+02  9.081902e+00  3.402798e-01
4.250000e+01  7.756419e+00  2.649794e-01
5.500000e+01  8.096752e+00  2.771497e-01
6.500000e+01  8.333552e+00  2.890109e-01
7.500000e+01  8.547350e+00  3.017052e-01
8.500000e+01  8.743114e+00  3.147806e-01
1.000000e+02  9.010221e+00  3.346042e-01
1.175000e+02  9.290581e+00  3.575865e-01
1.325000e+02  9.509967e+00  3.769415e-01
1.550000e+02  9.810701e+00  4.051871e-01
1.850000e+02  1.017069e+01  4.412292e-01
2.150000e+02  1.049492e+01  4.754000e-01
2.450000e+02  1.079141e+01  5.077682e-01
2.750000e+02  1.106564e+01  5.384340e-01
4.260000e+02  1.221770e+01  6.705561e-01
4.830000e+02  1.258469e+01  7.123101e-01
5.470000e+02  1.296604e+01  7.548061e-01
6.200000e+02  1.336878e+01  7.982734e-01
7.020000e+02  1.378785e+01  8.415279e-01
7.960000e+02  1.423297e+01  8.848219e-01
9.020000e+02  1.469814e+01  9.267211e-01
1.022000e+03  1.518648e+01  9.666354e-01
1.158000e+03  1.569994e+01  1.003769e+00
1.312000e+03  1.623958e+01  1.037202e+00
5.809680e+02  1.315731e+01  7.756559e-01
6.583230e+02  1.356860e+01  8.191752e-01
7.459770e+02  1.400034e+01  8.625616e-01
8.453030e+02  1.445371e+01  9.051555e-01
9.578540e+02  1.493001e+01  9.462144e-01
1.085391e+03  1.543059e+01  9.849245e-01
1.229909e+03  1.595692e+01  1.020416e+00
1.393669e+03  1.651055e+01  1.051782e+00
1.579234e+03  1.709317e+01  1.078109e+00
1.000000e-01  5.953218e+00  1.707726e+00
2.900000e-01  6.286947e+00  8.792552e-01
5.200000e-01  5.075773e+00  4.384222e-01
7.800000e-01  3.447679e+00  2.355325e-01
1.120000e+00  2.032423e+00  1.219847e-01
1.550000e+00  1.096506e+00  6.030999e-02
2.210000e+00  4.713204e-01  2.476558e-02
2.000000e-02  5.670445e+01  1.190445e+00
8.000000e-02  3.362090e+01  7.955075e-01
1.400000e-01  2.086574e+01  6.137732e-01
2.100000e-01  1.243740e+01  4.873790e-01
3.000000e-01  6.634216e+00  3.564146e-01
4.100000e-01  3.208662e+00  2.380197e-01
5.800000e-01  1.117480e+00  1.247780e-01
9.000000e-01  1.861793e-01  3.863562e-02
