# W  results  stat. err
3.153000e+01  1.270249e+02  2.017217e+00
9.711000e+01  2.055665e+02  3.272280e+00
1.246900e+02  2.297883e+02  3.649054e+00
1.601000e+02  2.573027e+02  4.069971e+00
4.931400e+02  4.390223e+02  6.840920e+00
6.332100e+02  4.976403e+02  7.774282e+00
8.130500e+02  5.656314e+02  8.895438e+00
4.050000e+01  1.410086e+02  2.242902e+00
4.590000e+01  1.486503e+02  2.366076e+00
5.200000e+01  1.567405e+02  2.496233e+00
2.990000e+02  3.442375e+02  5.382972e+00
3.390000e+02  3.655717e+02  5.706895e+00
3.840000e+02  3.882850e+02  6.054066e+00
5.040000e+01  1.405928e-01  3.297778e-03
7.310000e+01  1.672046e-01  4.050707e-03
1.299000e+02  2.238523e-01  6.099384e-03
1.933000e+02  2.775731e-01  8.441241e-03
3.912000e+02  4.139755e-01  1.543238e-02
4.320000e+01  1.313852e-01  3.081852e-03
5.000000e+01  1.400927e-01  3.285363e-03
5.730000e+01  1.490308e-01  3.517819e-03
6.530000e+01  1.584130e-01  3.783690e-03
7.390000e+01  1.680884e-01  4.078436e-03
8.320000e+01  1.781408e-01  4.404483e-03
9.330000e+01  1.886418e-01  4.764677e-03
1.043000e+02  1.996518e-01  5.162075e-03
4.250000e+01  1.304653e-01  3.061861e-03
5.500000e+01  1.462564e-01  3.443346e-03
6.500000e+01  1.580682e-01  3.773556e-03
7.500000e+01  1.692984e-01  4.116653e-03
8.500000e+01  1.800423e-01  4.468270e-03
1.000000e+02  1.953970e-01  5.006207e-03
1.175000e+02  2.123563e-01  5.643761e-03
1.325000e+02  2.262139e-01  6.195183e-03
1.550000e+02  2.460246e-01  7.026319e-03
1.850000e+02  2.709388e-01  8.135197e-03
2.150000e+02  2.944565e-01  9.238541e-03
2.450000e+02  3.168224e-01  1.033169e-02
2.750000e+02  3.382134e-01  1.141144e-02
4.260000e+02  4.349244e-01  1.658041e-02
4.830000e+02  4.678576e-01  1.840135e-02
5.470000e+02  5.030621e-01  2.035686e-02
6.200000e+02  5.412591e-01  2.247278e-02
7.020000e+02  5.820363e-01  2.470696e-02
7.960000e+02  6.264108e-01  2.708932e-02
9.020000e+02  6.738524e-01  2.955857e-02
1.022000e+03  7.247185e-01  3.209455e-02
1.158000e+03  7.792478e-01  3.466262e-02
1.312000e+03  8.375737e-01  3.721544e-02
5.809680e+02  5.210766e-01  2.135652e-02
6.583230e+02  5.605766e-01  2.353544e-02
7.459770e+02  6.030889e-01  2.584477e-02
8.453030e+02  6.487946e-01  2.826562e-02
9.578540e+02  6.978763e-01  3.077196e-02
1.085391e+03  7.505176e-01  3.333024e-02
1.229909e+03  8.069018e-01  3.589917e-02
1.393669e+03  8.672092e-01  3.842988e-02
1.579234e+03  9.316153e-01  4.086659e-02
1.000000e-01  6.523449e-02  2.456727e-02
2.900000e-01  5.729564e-02  1.222857e-02
5.200000e-01  4.074891e-02  5.275678e-03
7.800000e-01  2.297603e-02  2.071484e-03
1.120000e+00  9.749985e-03  6.759790e-04
1.550000e+00  3.525882e-03  2.146645e-04
2.210000e+00  1.319012e-03  7.328352e-05
2.000000e-02  9.841917e-01  1.653391e-02
8.000000e-02  6.621297e-01  1.210425e-02
1.400000e-01  4.448025e-01  9.333246e-03
2.100000e-01  2.791376e-01  7.098968e-03
3.000000e-01  1.529416e-01  4.989049e-03
4.100000e-01  7.307374e-02  3.171698e-03
5.800000e-01  2.322761e-02  1.503260e-03
9.000000e-01  2.721555e-03  3.511356e-04
