# W  results  stat. err
3.153000e+01  1.009677e+02  2.437706e+00
9.711000e+01  2.872161e+02  6.623665e+00
1.246900e+02  3.604106e+02  8.199038e+00
1.601000e+02  4.523066e+02  1.023472e+01
4.931400e+02  1.257059e+03  2.850221e+01
6.332100e+02  1.576263e+03  3.521824e+01
8.130500e+02  1.975227e+03  4.292125e+01
4.050000e+01  1.282007e+02  3.111680e+00
4.590000e+01  1.442103e+02  3.491245e+00
5.200000e+01  1.620052e+02  3.901702e+00
2.990000e+02  7.981842e+02  1.817176e+01
3.390000e+02  8.946502e+02  2.038935e+01
3.840000e+02  1.001875e+03  2.283214e+01
5.040000e+01  1.524600e-01  1.018263e-02
7.310000e+01  2.187812e-01  1.497451e-02
1.299000e+02  3.973773e-01  3.029256e-02
1.933000e+02  6.103726e-01  5.160439e-02
3.912000e+02  1.315346e+00  1.345276e-01
4.320000e+01  1.322536e-01  8.866576e-03
5.000000e+01  1.513258e-01  1.010666e-02
5.730000e+01  1.722252e-01  1.154225e-02
6.530000e+01  1.955860e-01  1.322749e-02
7.390000e+01  2.211821e-01  1.515921e-02
8.320000e+01  2.493717e-01  1.737822e-02
9.330000e+01  2.805290e-01  1.993110e-02
1.043000e+02  3.150419e-01  2.286994e-02
4.250000e+01  1.303136e-01  8.744728e-03
5.500000e+01  1.655956e-01  1.107897e-02
6.500000e+01  1.947019e-01  1.316229e-02
7.500000e+01  2.244897e-01  1.541480e-02
8.500000e+01  2.548847e-01  1.782257e-02
1.000000e+02  3.014826e-01  2.170213e-02
1.175000e+02  3.571704e-01  2.660004e-02
1.325000e+02  4.058790e-01  3.108876e-02
1.550000e+02  4.803746e-01  3.827598e-02
1.850000e+02  5.819075e-01  4.860970e-02
2.150000e+02  6.854415e-01  5.968304e-02
2.450000e+02  7.905329e-01  7.138373e-02
2.750000e+02  8.968308e-01  8.361401e-02
4.260000e+02  1.441726e+00  1.504972e-01
4.830000e+02  1.648900e+00  1.770351e-01
5.470000e+02  1.881100e+00  2.071086e-01
6.200000e+02  2.144596e+00  2.413966e-01
7.020000e+02  2.437990e+00  2.794825e-01
7.960000e+02  2.770047e+00  3.221326e-01
9.020000e+02  3.138126e+00  3.684741e-01
1.022000e+03  3.545838e+00  4.182573e-01
1.158000e+03  3.995678e+00  4.708749e-01
1.312000e+03  4.488880e+00  5.253473e-01
5.809680e+02  2.003934e+00  2.230866e-01
6.583230e+02  2.282102e+00  2.592759e-01
7.459770e+02  2.593956e+00  2.995949e-01
8.453030e+02  2.942135e+00  3.439424e-01
9.578540e+02  3.329122e+00  3.920209e-01
1.085391e+03  3.757161e+00  4.433013e-01
1.229909e+03  4.228128e+00  4.969916e-01
1.393669e+03  4.743406e+00  5.520182e-01
1.579234e+03  5.303738e+00  6.070247e-01
1.000000e-01  8.178999e-01  1.954013e-01
2.900000e-01  5.374634e-01  1.061065e-01
5.200000e-01  3.290124e-01  5.287183e-02
7.800000e-01  1.819031e-01  2.496292e-02
1.120000e+00  7.998493e-02  9.700391e-03
1.550000e+00  2.903686e-02  3.379476e-03
2.210000e+00  8.631479e-03  1.128252e-03
2.000000e-02  1.182551e+00  6.689428e-02
8.000000e-02  8.286195e-01  4.764527e-02
1.400000e-01  5.804737e-01  3.482288e-02
2.100000e-01  3.829859e-01  2.489681e-02
3.000000e-01  2.240819e-01  1.680544e-02
4.100000e-01  1.161396e-01  1.067467e-02
5.800000e-01  4.189526e-02  5.310250e-03
9.000000e-01  6.269783e-03  1.477853e-03
