# W  results  stat. err
3.153000e+01  2.413937e+01  3.848755e-01
9.711000e+01  4.556682e+01  7.263278e-01
1.246900e+02  5.263532e+01  8.395814e-01
1.601000e+02  6.086198e+01  9.696257e-01
4.931400e+02  1.194510e+02  1.893418e+00
6.332100e+02  1.396766e+02  2.225852e+00
8.130500e+02  1.638328e+02  2.637034e+00
4.050000e+01  2.774779e+01  4.408023e-01
4.590000e+01  2.976327e+01  4.725339e-01
5.200000e+01  3.192794e+01  5.069030e-01
2.990000e+02  8.804586e+01  1.394298e+00
3.390000e+02  9.496480e+01  1.502894e+00
3.840000e+02  1.024293e+02  1.620789e+00
5.040000e+01  3.659178e-02  4.583851e-04
7.310000e+01  4.582583e-02  5.980190e-04
1.299000e+02  6.643711e-02  9.797753e-04
1.933000e+02  8.693428e-02  1.430353e-03
3.912000e+02  1.418912e-01  2.855692e-03
4.320000e+01  3.347547e-02  4.171616e-04
5.000000e+01  3.642142e-02  4.560444e-04
5.730000e+01  3.948423e-02  4.995299e-04
6.530000e+01  4.273964e-02  5.487611e-04
7.390000e+01  4.613792e-02  6.031317e-04
8.320000e+01  4.971062e-02  6.632897e-04
9.330000e+01  5.348593e-02  7.299379e-04
1.043000e+02  5.748908e-02  8.038145e-04
4.250000e+01  3.316649e-02  4.132692e-04
5.500000e+01  3.852941e-02  4.856634e-04
6.500000e+01  4.261929e-02  5.468896e-04
7.500000e+01  4.656575e-02  6.101788e-04
8.500000e+01  5.039102e-02  6.750746e-04
1.000000e+02  5.593679e-02  7.747906e-04
1.175000e+02  6.216201e-02  8.939281e-04
1.325000e+02  6.732063e-02  9.979020e-04
1.550000e+02  7.479866e-02  1.156279e-03
1.850000e+02  8.436067e-02  1.370611e-03
2.150000e+02  9.353217e-02  1.587138e-03
2.450000e+02  1.023730e-01  1.804691e-03
2.750000e+02  1.109270e-01  2.022381e-03
4.260000e+02  1.506123e-01  3.099788e-03
4.830000e+02  1.644423e-01  3.492350e-03
5.470000e+02  1.793728e-01  3.921179e-03
6.200000e+02  1.957253e-01  4.393621e-03
7.020000e+02  2.133376e-01  4.902102e-03
7.960000e+02  2.326636e-01  5.455531e-03
9.020000e+02  2.534857e-01  6.042016e-03
1.022000e+03  2.759689e-01  6.659062e-03
1.158000e+03  3.002251e-01  7.300797e-03
1.312000e+03  3.263163e-01  7.958117e-03
5.809680e+02  1.870663e-01  4.143287e-03
6.583230e+02  2.040500e-01  4.634226e-03
7.459770e+02  2.224870e-01  5.164945e-03
8.453030e+02  2.424686e-01  5.733236e-03
9.578540e+02  2.640856e-01  6.335308e-03
1.085391e+03  2.874269e-01  6.965595e-03
1.229909e+03  3.125786e-01  7.616577e-03
1.393669e+03  3.396220e-01  8.278682e-03
1.579234e+03  3.686316e-01  8.940282e-03
1.000000e-01  2.780283e-03  2.358421e-03
2.900000e-01  4.064327e-03  1.704848e-03
5.200000e-01  4.154400e-03  9.718040e-04
7.800000e-01  3.115102e-03  4.647700e-04
1.120000e+00  1.748492e-03  1.751383e-04
1.550000e+00  8.066587e-04  5.842707e-05
2.210000e+00  3.325877e-04  1.875775e-05
2.000000e-02  2.106238e-01  1.406454e-03
8.000000e-02  1.560523e-01  1.206633e-03
1.400000e-01  1.155919e-01  1.088313e-03
2.100000e-01  8.142121e-02  9.768071e-04
3.000000e-01  5.187327e-02  8.169979e-04
4.100000e-01  2.989903e-02  6.241840e-04
5.800000e-01  1.277266e-02  3.820116e-04
9.000000e-01  2.605263e-03  1.351447e-04
