# W  results  stat. err
3.153000e+01  1.167006e+03  1.457991e+01
9.711000e+01  2.544096e+03  3.292004e+01
1.246900e+02  3.024593e+03  3.933405e+01
1.601000e+02  3.597086e+03  4.656208e+01
4.931400e+02  7.892376e+03  9.619002e+01
6.332100e+02  9.411613e+03  1.146485e+02
8.130500e+02  1.122968e+04  1.384530e+02
4.050000e+01  1.388979e+03  1.730883e+01
4.590000e+01  1.514969e+03  1.892964e+01
5.200000e+01  1.651759e+03  2.073271e+01
2.990000e+02  5.557779e+03  6.939246e+01
3.390000e+02  6.067867e+03  7.517080e+01
3.840000e+02  6.621376e+03  8.146380e+01
5.040000e+01  1.934959e+00  3.767538e-02
7.310000e+01  2.549088e+00  5.173269e-02
1.299000e+02  4.005424e+00  9.229717e-02
1.933000e+02  5.547367e+00  1.432101e-01
3.912000e+02  1.002441e+01  3.180129e-01
4.320000e+01  1.734119e+00  3.361132e-02
5.000000e+01  1.923891e+00  3.744367e-02
5.730000e+01  2.124385e+00  4.176916e-02
6.530000e+01  2.340851e+00  4.672063e-02
7.390000e+01  2.570303e+00  5.225617e-02
8.320000e+01  2.815157e+00  5.846012e-02
9.330000e+01  3.077708e+00  6.542530e-02
1.043000e+02  3.360148e+00  7.325161e-02
4.250000e+01  1.714397e+00  3.322924e-02
5.500000e+01  2.061544e+00  4.038503e-02
6.500000e+01  2.332789e+00  4.653134e-02
7.500000e+01  2.599433e+00  5.297869e-02
8.500000e+01  2.862192e+00  5.968484e-02
1.000000e+02  3.250147e+00  7.016412e-02
1.175000e+02  3.694814e+00  8.293765e-02
1.325000e+02  4.070124e+00  9.428899e-02
1.550000e+02  4.624376e+00  1.119068e-01
1.850000e+02  5.349329e+00  1.363059e-01
2.150000e+02  6.060413e+00  1.615253e-01
2.450000e+02  6.759327e+00  1.873736e-01
2.750000e+02  7.447317e+00  2.136956e-01
4.260000e+02  1.077254e+01  3.494879e-01
4.830000e+02  1.197721e+01  4.008607e-01
5.470000e+02  1.330150e+01  4.579533e-01
6.200000e+02  1.477850e+01  5.219237e-01
7.020000e+02  1.639853e+01  5.919220e-01
7.960000e+02  1.820902e+01  6.693514e-01
9.020000e+02  2.019590e+01  7.527145e-01
1.022000e+03  2.238110e+01  8.417777e-01
1.158000e+03  2.478243e+01  9.357940e-01
1.312000e+03  2.741353e+01  1.033495e+00
5.809680e+02  1.399303e+01  4.878936e-01
6.583230e+02  1.554057e+01  5.549035e-01
7.459770e+02  1.725150e+01  6.285404e-01
8.453030e+02  1.914009e+01  7.086624e-01
9.578540e+02  2.122112e+01  7.948797e-01
1.085391e+03  2.350991e+01  8.865136e-01
1.229909e+03  2.602214e+01  9.825561e-01
1.393669e+03  2.877367e+01  1.081642e+00
1.579234e+03  3.178038e+01  1.182033e+00
1.000000e-01  2.273253e-01  1.613474e-01
2.900000e-01  6.275086e-01  1.604552e-01
5.200000e-01  8.381563e-01  1.108573e-01
7.800000e-01  8.066125e-01  6.855877e-02
1.120000e+00  6.464256e-01  3.886041e-02
1.550000e+00  4.550797e-01  2.221884e-02
2.210000e+00  2.572617e-01  1.211792e-02
2.000000e-02  1.245098e+01  7.485825e-02
8.000000e-02  9.030143e+00  7.787667e-02
1.400000e-01  6.550876e+00  8.185091e-02
2.100000e-01  4.506440e+00  8.265950e-02
3.000000e-01  2.788004e+00  7.386918e-02
4.100000e-01  1.553224e+00  5.912950e-02
5.800000e-01  6.324785e-01  3.837668e-02
9.000000e-01  1.196531e-01  1.550887e-02
