# W  results  stat. err
3.153000e+01  7.718099e+01  2.004896e+00
9.711000e+01  2.394462e+02  6.148895e+00
1.246900e+02  3.035330e+02  7.799725e+00
1.601000e+02  3.833694e+02  9.825823e+00
4.931400e+02  1.067153e+03  2.641313e+01
6.332100e+02  1.336941e+03  3.283503e+01
8.130500e+02  1.676003e+03  4.092129e+01
4.050000e+01  1.004149e+02  2.580985e+00
4.590000e+01  1.142271e+02  2.928050e+00
5.200000e+01  1.296730e+02  3.319423e+00
2.990000e+02  6.792578e+02  1.711247e+01
3.390000e+02  7.610138e+02  1.908720e+01
3.840000e+02  8.516946e+02  2.126610e+01
5.040000e+01  1.762137e-01  1.571727e-02
7.310000e+01  2.536454e-01  2.267529e-02
1.299000e+02  4.390319e-01  4.010619e-02
1.933000e+02  6.358124e-01  5.942279e-02
3.912000e+02  1.208512e+00  1.180025e-01
4.320000e+01  1.511531e-01  1.351722e-02
5.000000e+01  1.748282e-01  1.559493e-02
5.730000e+01  1.999942e-01  1.782946e-02
6.530000e+01  2.272932e-01  2.028180e-02
7.390000e+01  2.563341e-01  2.292087e-02
8.320000e+01  2.874075e-01  2.577658e-02
9.330000e+01  3.207926e-01  2.887859e-02
1.043000e+02  3.567574e-01  3.225621e-02
4.250000e+01  1.487027e-01  1.330359e-02
5.500000e+01  1.920922e-01  1.712504e-02
6.500000e+01  2.262745e-01  2.018979e-02
7.500000e+01  2.600269e-01  2.325857e-02
8.500000e+01  2.933840e-01  2.632940e-02
1.000000e+02  3.427454e-01  3.093606e-02
1.175000e+02  3.994154e-01  3.630629e-02
1.325000e+02  4.472860e-01  4.090223e-02
1.550000e+02  5.180098e-01  4.777871e-02
1.850000e+02  6.105348e-01  5.690668e-02
2.150000e+02  7.013036e-01  6.598050e-02
2.450000e+02  7.905452e-01  7.499486e-02
2.750000e+02  8.784391e-01  8.394650e-02
4.260000e+02  1.304702e+00  1.280093e-01
4.830000e+02  1.460058e+00  1.442109e-01
5.470000e+02  1.631611e+00  1.621278e-01
6.200000e+02  1.824040e+00  1.822203e-01
7.020000e+02  2.036592e+00  2.043689e-01
7.960000e+02  2.276175e+00  2.292342e-01
9.020000e+02  2.541812e+00  2.566351e-01
1.022000e+03  2.837511e+00  2.868832e-01
1.158000e+03  3.167063e+00  3.202342e-01
1.312000e+03  3.534061e+00  3.568853e-01
5.809680e+02  1.721554e+00  1.715220e-01
6.583230e+02  1.923820e+00  1.926259e-01
7.459770e+02  2.149185e+00  2.160700e-01
8.453030e+02  2.400287e+00  2.420610e-01
9.578540e+02  2.680064e+00  2.708131e-01
1.085391e+03  2.991805e+00  3.025476e-01
1.229909e+03  3.339189e+00  3.374904e-01
1.393669e+03  3.726333e+00  3.758698e-01
1.579234e+03  4.157852e+00  4.179137e-01
1.000000e-01  1.197827e+00  5.600521e-01
2.900000e-01  7.562099e-01  3.360341e-01
5.200000e-01  4.373871e-01  1.832244e-01
7.800000e-01  2.370499e-01  9.429372e-02
1.120000e+00  1.082328e-01  4.134871e-02
1.550000e+00  4.206215e-02  1.574026e-02
2.210000e+00  1.272592e-02  4.975776e-03
2.000000e-02  1.054376e+00  7.774341e-02
8.000000e-02  8.031257e-01  6.150634e-02
1.400000e-01  6.128480e-01  4.901141e-02
2.100000e-01  4.479545e-01  3.787491e-02
3.000000e-01  3.003513e-01  2.743793e-02
4.100000e-01  1.853462e-01  1.872205e-02
5.800000e-01  8.898358e-02  1.053002e-02
9.000000e-01  2.347212e-02  3.718452e-03
