# W  results  stat. err
3.153000e+01  8.214910e+02  2.108136e+01
9.711000e+01  1.083991e+03  2.762436e+01
1.246900e+02  1.158642e+03  2.948915e+01
1.601000e+02  1.240597e+03  3.149416e+01
4.931400e+02  1.733902e+03  4.330463e+01
6.332100e+02  1.881697e+03  4.691922e+01
8.130500e+02  2.048589e+03  5.109117e+01
4.050000e+01  8.709059e+02  2.226766e+01
4.590000e+01  8.973653e+02  2.291892e+01
5.200000e+01  9.249821e+02  2.360687e+01
2.990000e+02  1.484858e+03  3.733510e+01
3.390000e+02  1.542208e+03  3.870111e+01
3.840000e+02  1.602377e+03  4.013832e+01
5.040000e+01  1.450682e+00  8.636269e-02
7.310000e+01  1.594206e+00  9.783750e-02
1.299000e+02  1.851396e+00  1.287938e-01
1.933000e+02  2.063444e+00  1.617800e-01
3.912000e+02  2.541846e+00  2.486809e-01
4.320000e+01  1.395229e+00  8.330725e-02
5.000000e+01  1.447763e+00  8.618112e-02
5.730000e+01  1.498546e+00  8.964869e-02
6.530000e+01  1.549051e+00  9.371554e-02
7.390000e+01  1.598642e+00  9.826608e-02
8.320000e+01  1.647926e+00  1.032992e-01
9.330000e+01  1.697351e+00  1.088255e-01
1.043000e+02  1.747258e+00  1.148608e-01
4.250000e+01  1.389474e+00  8.303950e-02
5.500000e+01  1.483086e+00  8.852478e-02
6.500000e+01  1.547240e+00  9.355954e-02
7.500000e+01  1.604688e+00  9.885677e-02
8.500000e+01  1.657021e+00  1.042811e-01
1.000000e+02  1.728185e+00  1.125022e-01
1.175000e+02  1.802781e+00  1.220755e-01
1.325000e+02  1.861212e+00  1.301933e-01
1.550000e+02  1.941557e+00  1.421482e-01
1.850000e+02  2.038337e+00  1.576059e-01
2.150000e+02  2.126271e+00  1.724805e-01
2.450000e+02  2.207459e+00  1.867717e-01
2.750000e+02  2.283306e+00  2.004942e-01
4.260000e+02  2.611359e+00  2.617090e-01
4.830000e+02  2.719473e+00  2.817935e-01
5.470000e+02  2.833850e+00  3.026277e-01
6.200000e+02  2.956993e+00  3.243770e-01
7.020000e+02  3.087788e+00  3.465017e-01
7.960000e+02  3.229790e+00  3.691885e-01
9.020000e+02  3.381682e+00  3.917461e-01
1.022000e+03  3.545090e+00  4.139064e-01
1.158000e+03  3.721385e+00  4.352829e-01
1.312000e+03  3.911743e+00  4.554051e-01
5.809680e+02  2.892026e+00  3.130025e-01
6.583230e+02  3.019015e+00  3.350051e-01
7.459770e+02  3.155175e+00  3.574513e-01
8.453030e+02  3.301420e+00  3.800550e-01
9.578540e+02  3.458761e+00  4.024771e-01
1.085391e+03  3.628327e+00  4.243289e-01
1.229909e+03  3.811379e+00  4.451764e-01
1.393669e+03  4.009325e+00  4.645488e-01
1.579234e+03  4.223745e+00  4.819498e-01
1.000000e-01  3.839290e+00  9.196267e-01
2.900000e-01  2.565346e+00  5.594006e-01
5.200000e-01  1.581148e+00  3.033960e-01
7.800000e-01  9.102168e-01  1.541048e-01
1.120000e+00  4.409979e-01  6.642567e-02
1.550000e+00  1.809470e-01  2.510027e-02
2.210000e+00  5.534288e-02  7.757247e-03
2.000000e-02  6.506724e+00  3.391760e-01
8.000000e-02  4.969976e+00  2.653580e-01
1.400000e-01  3.800982e+00  2.095710e-01
2.100000e-01  2.783531e+00  1.607257e-01
3.000000e-01  1.868264e+00  1.157504e-01
4.100000e-01  1.151394e+00  7.874556e-02
5.800000e-01  5.485055e-01  4.434858e-02
9.000000e-01  1.386775e-01  1.556470e-02
