# W  results  stat. err
3.153000e+01  6.814171e+01  2.284071e+00
9.711000e+01  9.276773e+01  3.069533e+00
1.246900e+02  9.966759e+01  3.279666e+00
1.601000e+02  1.071848e+02  3.504650e+00
4.931400e+02  1.519742e+02  4.814238e+00
6.332100e+02  1.654377e+02  5.209621e+00
8.130500e+02  1.807301e+02  5.663231e+00
4.050000e+01  7.281341e+01  2.437994e+00
4.590000e+01  7.530919e+01  2.519178e+00
5.200000e+01  7.790934e+01  2.603032e+00
2.990000e+02  1.293872e+02  4.155837e+00
3.390000e+02  1.345839e+02  4.307129e+00
3.840000e+02  1.400370e+02  4.465897e+00
5.040000e+01  1.268324e-01  1.464860e-02
7.310000e+01  1.406490e-01  1.660788e-02
1.299000e+02  1.674105e-01  2.179320e-02
1.933000e+02  1.904185e-01  2.723473e-02
3.912000e+02  2.422355e-01  4.126100e-02
4.320000e+01  1.218073e-01  1.411608e-02
5.000000e+01  1.265631e-01  1.461719e-02
5.730000e+01  1.313201e-01  1.521404e-02
6.530000e+01  1.361902e-01  1.590828e-02
7.390000e+01  1.410919e-01  1.668044e-02
8.320000e+01  1.460663e-01  1.753040e-02
9.330000e+01  1.511446e-01  1.845983e-02
1.043000e+02  1.563502e-01  1.947108e-02
4.250000e+01  1.212974e-01  1.406887e-02
5.500000e+01  1.298562e-01  1.502121e-02
6.500000e+01  1.360133e-01  1.588173e-02
7.500000e+01  1.416969e-01  1.678039e-02
8.500000e+01  1.469945e-01  1.769581e-02
1.000000e+02  1.543523e-01  1.907631e-02
1.175000e+02  1.622182e-01  2.067551e-02
1.325000e+02  1.684642e-01  2.202559e-02
1.550000e+02  1.771402e-01  2.400496e-02
1.850000e+02  1.876766e-01  2.655006e-02
2.150000e+02  1.972857e-01  2.898511e-02
2.450000e+02  2.061562e-01  3.131232e-02
2.750000e+02  2.144206e-01  3.353592e-02
4.260000e+02  2.495834e-01  4.332747e-02
4.830000e+02  2.608780e-01  4.649439e-02
5.470000e+02  2.726360e-01  4.975476e-02
6.200000e+02  2.850628e-01  5.313018e-02
7.020000e+02  2.979879e-01  5.653245e-02
7.960000e+02  3.116945e-01  5.998527e-02
9.020000e+02  3.259778e-01  6.337810e-02
1.022000e+03  3.409111e-01  6.666585e-02
1.158000e+03  3.565276e-01  6.978594e-02
1.312000e+03  3.728293e-01  7.266432e-02
5.809680e+02  2.785374e-01  5.136858e-02
6.583230e+02  2.912275e-01  5.476864e-02
7.459770e+02  3.045349e-01  5.820369e-02
8.453030e+02  3.184788e-01  6.162503e-02
9.578540e+02  3.330773e-01  6.497627e-02
1.085391e+03  3.483475e-01  6.819411e-02
1.229909e+03  3.643058e-01  7.120930e-02
1.393669e+03  3.809670e-01  7.394822e-02
1.579234e+03  3.983449e-01  7.633494e-02
1.000000e-01  6.746752e-01  1.676905e-01
2.900000e-01  6.633706e-01  1.394908e-01
5.200000e-01  6.225664e-01  1.060452e-01
7.800000e-01  5.389290e-01  8.314858e-02
1.120000e+00  4.301713e-01  6.029634e-02
1.550000e+00  3.270890e-01  4.367848e-02
2.210000e+00  2.137801e-01  2.986600e-02
2.000000e-02  5.122943e-01  3.679668e-02
8.000000e-02  4.026451e-01  2.988276e-02
1.400000e-01  3.164411e-01  2.502954e-02
2.100000e-01  2.389744e-01  2.099356e-02
3.000000e-01  1.667231e-01  1.729231e-02
4.100000e-01  1.076568e-01  1.387826e-02
5.800000e-01  5.546182e-02  9.907891e-03
9.000000e-01  1.720604e-02  5.236679e-03
