# W  results  stat. err
3.153000e+01  8.863351e+03  2.009121e+02
9.711000e+01  1.772418e+04  3.628911e+02
1.246900e+02  2.052357e+04  4.099365e+02
1.601000e+02  2.370508e+04  4.628338e+02
4.931400e+02  4.417194e+04  7.813081e+02
6.332100e+02  5.048870e+04  8.692813e+02
8.130500e+02  5.763498e+04  9.621360e+02
4.050000e+01  1.039180e+04  2.314846e+02
4.590000e+01  1.124008e+04  2.477928e+02
5.200000e+01  1.214621e+04  2.647812e+02
2.990000e+02  3.364942e+04  6.232404e+02
3.390000e+02  3.605019e+04  6.604863e+02
3.840000e+02  3.858593e+04  6.990945e+02
5.040000e+01  1.178017e+01  5.957345e-01
7.310000e+01  1.562212e+01  7.929593e-01
1.299000e+02  2.513513e+01  1.397531e+00
1.933000e+02  3.548158e+01  2.178779e+00
3.912000e+02  6.555447e+01  4.858945e+00
4.320000e+01  1.056196e+01  5.423944e-01
5.000000e+01  1.171245e+01  5.926240e-01
5.730000e+01  1.294865e+01  6.516782e-01
6.530000e+01  1.430305e+01  7.211937e-01
7.390000e+01  1.575729e+01  8.005182e-01
8.320000e+01  1.732679e+01  8.908317e-01
9.330000e+01  1.902666e+01  9.935176e-01
1.043000e+02  2.087156e+01  1.110113e+00
4.250000e+01  1.044366e+01  5.375425e-01
5.500000e+01  1.255914e+01  6.325759e-01
6.500000e+01  1.425228e+01  7.185077e-01
7.500000e+01  1.594312e+01  8.109685e-01
8.500000e+01  1.763012e+01  9.087997e-01
1.000000e+02  2.015122e+01  1.063984e+00
1.175000e+02  2.307552e+01  1.255747e+00
1.325000e+02  2.556559e+01  1.427813e+00
1.550000e+02  2.926952e+01  1.696949e+00
1.850000e+02  3.414567e+01  2.072254e+00
2.150000e+02  3.894657e+01  2.461711e+00
2.450000e+02  4.366971e+01  2.861219e+00
2.750000e+02  4.831379e+01  3.267437e+00
4.260000e+02  7.049046e+01  5.330629e+00
4.830000e+02  7.835631e+01  6.089779e+00
5.470000e+02  8.687419e+01  6.916042e+00
6.200000e+02  9.620146e+01  7.817728e+00
7.020000e+02  1.062097e+02  8.772462e+00
7.960000e+02  1.171077e+02  9.786382e+00
9.020000e+02  1.287092e+02  1.082438e+01
1.022000e+03  1.410288e+02  1.186672e+01
1.158000e+03  1.540322e+02  1.288548e+01
1.312000e+03  1.676383e+02  1.384625e+01
5.809680e+02  9.126465e+01  7.341375e+00
6.583230e+02  1.009390e+02  8.271875e+00
7.459770e+02  1.113824e+02  9.257705e+00
8.453030e+02  1.225914e+02  1.028306e+01
9.578540e+02  1.345468e+02  1.132679e+01
1.085391e+03  1.472112e+02  1.236239e+01
1.229909e+03  1.605263e+02  1.335844e+01
1.393669e+03  1.744110e+02  1.427948e+01
1.579234e+03  1.887591e+02  1.508755e+01
1.000000e-01  3.538156e+01  7.278837e+00
2.900000e-01  2.924307e+01  3.917822e+00
5.200000e-01  2.254402e+01  2.089045e+00
7.800000e-01  1.592935e+01  1.273520e+00
1.120000e+00  9.790989e+00  7.405606e-01
1.550000e+00  5.338054e+00  3.892294e-01
2.210000e+00  2.314022e+00  1.641656e-01
2.000000e-02  1.107989e+02  3.945958e+00
8.000000e-02  6.778432e+01  2.618657e+00
1.400000e-01  4.141822e+01  1.850649e+00
2.100000e-01  2.327864e+01  1.295179e+00
3.000000e-01  1.107337e+01  8.457367e-01
4.100000e-01  4.453969e+00  5.123758e-01
5.800000e-01  1.095075e+00  2.358053e-01
9.000000e-01  8.997393e-02  5.603443e-02
