# W  results  stat. err
3.153000e+01  2.409641e+03  3.365443e+01
9.711000e+01  3.447231e+03  4.830306e+01
1.246900e+02  3.749310e+03  5.226575e+01
1.601000e+02  4.086464e+03  5.672958e+01
4.931400e+02  6.182960e+03  8.494475e+01
6.332100e+02  6.818983e+03  9.347202e+01
8.130500e+02  7.536416e+03  1.030096e+02
4.050000e+01  2.603937e+03  3.668425e+01
4.590000e+01  2.707861e+03  3.822570e+01
5.200000e+01  2.816398e+03  3.978801e+01
2.990000e+02  5.115403e+03  7.054763e+01
3.390000e+02  5.360267e+03  7.385300e+01
3.840000e+02  5.617940e+03  7.733111e+01
5.040000e+01  2.365719e+00  4.012430e-02
7.310000e+01  2.710163e+00  4.777654e-02
1.299000e+02  3.448662e+00  6.996644e-02
1.933000e+02  4.144032e+00  9.586596e-02
3.912000e+02  5.869611e+00  1.731473e-01
4.320000e+01  2.248230e+00  3.813209e-02
5.000000e+01  2.359305e+00  4.000554e-02
5.730000e+01  2.474360e+00  4.228488e-02
6.530000e+01  2.595870e+00  4.499225e-02
7.390000e+01  2.721668e+00  4.806840e-02
8.320000e+01  2.852673e+00  5.152908e-02
9.330000e+01  2.989671e+00  5.539879e-02
1.043000e+02  3.133329e+00  5.970680e-02
4.250000e+01  2.236573e+00  3.795788e-02
5.500000e+01  2.438558e+00  4.154334e-02
6.500000e+01  2.591394e+00  4.488768e-02
7.500000e+01  2.737425e+00  4.847138e-02
8.500000e+01  2.877473e+00  5.221133e-02
1.000000e+02  3.077818e+00  5.801316e-02
1.175000e+02  3.298977e+00  6.496578e-02
1.325000e+02  3.479382e+00  7.102037e-02
1.550000e+02  3.736579e+00  8.019040e-02
1.850000e+02  4.058587e+00  9.247138e-02
2.150000e+02  4.360876e+00  1.047139e-01
2.450000e+02  4.646756e+00  1.168456e-01
2.750000e+02  4.918665e+00  1.288171e-01
4.260000e+02  6.129226e+00  1.856976e-01
4.830000e+02  6.534471e+00  2.054784e-01
5.470000e+02  6.963800e+00  2.265241e-01
6.200000e+02  7.425168e+00  2.490324e-01
7.020000e+02  7.912660e+00  2.724583e-01
7.960000e+02  8.437338e+00  2.969964e-01
9.020000e+02  8.991685e+00  3.218756e-01
1.022000e+03  9.578603e+00  3.467425e-01
1.158000e+03  1.019938e+01  3.710856e-01
1.312000e+03  1.085390e+01  3.942682e-01
5.809680e+02  7.181964e+00  2.371945e-01
6.583230e+02  7.656752e+00  2.602211e-01
7.459770e+02  8.162333e+00  2.842384e-01
8.453030e+02  8.699731e+00  3.089239e-01
9.578540e+02  9.269836e+00  3.338672e-01
1.085391e+03  9.873383e+00  3.585709e-01
1.229909e+03  1.051092e+01  3.824551e-01
1.393669e+03  1.118276e+01  4.048701e-01
1.579234e+03  1.188899e+01  4.251147e-01
1.000000e-01  4.853243e-01  2.479151e-01
2.900000e-01  7.731206e-01  1.508287e-01
5.200000e-01  6.953351e-01  6.969353e-02
7.800000e-01  4.632228e-01  3.136017e-02
1.120000e+00  2.435870e-01  1.327323e-02
1.550000e+00  1.101613e-01  5.680471e-03
2.210000e+00  4.137907e-02  2.128525e-03
2.000000e-02  1.794834e+01  1.567112e-01
8.000000e-02  1.133098e+01  1.263916e-01
1.400000e-01  7.150996e+00  1.085540e-01
2.100000e-01  4.179672e+00  9.070251e-02
3.000000e-01  2.096877e+00  6.609398e-02
4.100000e-01  9.052728e-01  4.218943e-02
5.800000e-01  2.508850e-01  1.989773e-02
9.000000e-01  2.510350e-02  4.928623e-03
