# W  results  stat. err
3.153000e+01  3.369553e+04  4.522388e+02
9.711000e+01  8.606200e+04  1.066140e+03
1.246900e+02  1.019796e+05  1.246851e+03
1.601000e+02  1.193708e+05  1.442099e+03
4.931400e+02  2.141679e+05  2.518847e+03
6.332100e+02  2.387023e+05  2.816793e+03
8.130500e+02  2.645695e+05  3.146845e+03
4.050000e+01  4.264400e+04  5.600761e+02
4.590000e+01  4.768229e+04  6.200882e+02
5.200000e+01  5.309065e+04  6.840429e+02
2.990000e+02  1.688252e+05  1.995220e+03
3.390000e+02  1.797373e+05  2.118899e+03
3.840000e+02  1.908794e+05  2.246488e+03
5.040000e+01  8.474625e+01  1.737784e+00
7.310000e+01  1.320385e+02  2.710439e+00
1.299000e+02  2.586846e+02  5.682855e+00
1.933000e+02  4.040821e+02  9.554603e+00
3.912000e+02  8.375482e+02  2.262351e+01
4.320000e+01  7.049399e+01  1.464308e+00
5.000000e+01  8.394313e+01  1.722104e+00
5.730000e+01  9.878601e+01  2.016725e+00
6.530000e+01  1.154530e+02  2.358953e+00
7.390000e+01  1.337559e+02  2.747423e+00
8.320000e+01  1.539153e+02  3.189321e+00
9.330000e+01  1.761547e+02  3.692457e+00
1.043000e+02  2.006964e+02  4.265151e+00
4.250000e+01  6.913292e+01  1.438746e+00
5.500000e+01  9.406860e+01  1.922004e+00
6.500000e+01  1.148213e+02  2.345775e+00
7.500000e+01  1.361220e+02  2.798550e+00
8.500000e+01  1.578547e+02  3.277287e+00
1.000000e+02  1.910684e+02  4.038389e+00
1.175000e+02  2.304765e+02  4.982564e+00
1.325000e+02  2.646202e+02  5.832615e+00
1.550000e+02  3.161738e+02  7.165557e+00
1.850000e+02  3.850598e+02  9.026587e+00
2.150000e+02  4.536415e+02  1.095548e+01
2.450000e+02  5.215683e+02  1.292769e+01
2.750000e+02  5.886054e+02  1.492361e+01
4.260000e+02  9.084304e+02  2.486398e+01
4.830000e+02  1.020738e+03  2.842680e+01
5.470000e+02  1.141259e+03  3.224196e+01
6.200000e+02  1.271706e+03  3.632789e+01
7.020000e+02  1.409684e+03  4.056193e+01
7.960000e+02  1.557362e+03  4.494819e+01
9.020000e+02  1.711404e+03  4.931103e+01
1.022000e+03  1.871163e+03  5.354658e+01
1.158000e+03  2.035258e+03  5.752120e+01
1.312000e+03  2.201673e+03  6.108246e+01
5.809680e+02  1.202873e+03  3.417961e+01
6.583230e+02  1.337289e+03  3.835407e+01
7.459770e+02  1.480125e+03  4.267577e+01
8.453030e+02  1.630593e+03  4.705268e+01
9.578540e+02  1.787609e+03  5.137203e+01
1.085391e+03  1.949777e+03  5.550285e+01
1.229909e+03  2.115382e+03  5.930028e+01
1.393669e+03  2.282388e+03  6.261205e+01
1.579234e+03  2.448462e+03  6.528685e+01
1.000000e-01  3.052615e+01  1.347350e+01
2.900000e-01  4.236742e+01  8.626607e+00
5.200000e-01  4.236769e+01  4.636416e+00
7.800000e-01  3.242446e+01  2.287130e+00
1.120000e+00  2.002327e+01  1.034900e+00
1.550000e+00  1.064332e+01  4.883537e-01
2.210000e+00  4.281782e+00  2.023978e-01
2.000000e-02  7.647878e+02  9.037720e+00
8.000000e-02  5.224175e+02  6.735447e+00
1.400000e-01  3.567559e+02  5.610867e+00
2.100000e-01  2.284134e+02  4.761717e+00
3.000000e-01  1.284608e+02  3.730188e+00
4.100000e-01  6.328009e+01  2.626329e+00
5.800000e-01  2.084307e+01  1.410730e+00
9.000000e-01  2.335795e+00  3.745290e-01
