# W  results  stat. err
3.153000e+01  1.156093e+04  2.246418e+02
9.711000e+01  1.821986e+04  3.364967e+02
1.246900e+02  2.007863e+04  3.658035e+02
1.601000e+02  2.209179e+04  3.972199e+02
4.931400e+02  3.348329e+04  5.695311e+02
6.332100e+02  3.665930e+04  6.158747e+02
8.130500e+02  4.013000e+04  6.656567e+02
4.050000e+01  1.282162e+04  2.471459e+02
4.590000e+01  1.349644e+04  2.588632e+02
5.200000e+01  1.420008e+04  2.708706e+02
2.990000e+02  2.789086e+04  4.861119e+02
3.390000e+02  2.920683e+04  5.059479e+02
3.840000e+02  3.056908e+04  5.263482e+02
5.040000e+01  3.738328e+01  1.846895e+00
7.310000e+01  4.463850e+01  2.217147e+00
1.299000e+02  5.865752e+01  3.108078e+00
1.933000e+02  7.076148e+01  4.015031e+00
3.912000e+02  9.835212e+01  6.343721e+00
4.320000e+01  3.472961e+01  1.731287e+00
5.000000e+01  3.724131e+01  1.840415e+00
5.730000e+01  3.974462e+01  1.959245e+00
6.530000e+01  4.230126e+01  2.089993e+00
7.390000e+01  4.487056e+01  2.230148e+00
8.320000e+01  4.747577e+01  2.380553e+00
9.330000e+01  5.013459e+01  2.542053e+00
1.043000e+02  5.286043e+01  2.715441e+00
4.250000e+01  3.445959e+01  1.720208e+00
5.500000e+01  3.897507e+01  1.921707e+00
6.500000e+01  4.220848e+01  2.085092e+00
7.500000e+01  4.518748e+01  2.248011e+00
8.500000e+01  4.796176e+01  2.409486e+00
1.000000e+02  5.181414e+01  2.647986e+00
1.175000e+02  5.593486e+01  2.919827e+00
1.325000e+02  5.921035e+01  3.147088e+00
1.550000e+02  6.376733e+01  3.478057e+00
1.850000e+02  6.931501e+01  3.901395e+00
2.150000e+02  7.438951e+01  4.305276e+00
2.450000e+02  7.908791e+01  4.690905e+00
2.750000e+02  8.347816e+01  5.059428e+00
4.260000e+02  1.023080e+02  6.689048e+00
4.830000e+02  1.084114e+02  7.220316e+00
5.470000e+02  1.147952e+02  7.770376e+00
6.200000e+02  1.215762e+02  8.343912e+00
7.020000e+02  1.286674e+02  8.927139e+00
7.960000e+02  1.362312e+02  9.525579e+00
9.020000e+02  1.441625e+02  1.012178e+01
1.022000e+03  1.525101e+02  1.070960e+01
1.158000e+03  1.613018e+02  1.127995e+01
1.312000e+03  1.705494e+02  1.182163e+01
5.809680e+02  1.180110e+02  8.044022e+00
6.583230e+02  1.249534e+02  8.624070e+00
7.459770e+02  1.322746e+02  9.215878e+00
8.453030e+02  1.399921e+02  9.812580e+00
9.578540e+02  1.481239e+02  1.040609e+01
1.085391e+03  1.566886e+02  1.098717e+01
1.229909e+03  1.657052e+02  1.154555e+01
1.393669e+03  1.751931e+02  1.207006e+01
1.579234e+03  1.851726e+02  1.254893e+01
1.000000e-01  4.074372e+01  1.045959e+01
2.900000e-01  3.490629e+01  7.477583e+00
5.200000e-01  3.003536e+01  5.150849e+00
7.800000e-01  2.483614e+01  3.425618e+00
1.120000e+00  1.834598e+01  1.995078e+00
1.550000e+00  1.169444e+01  1.008422e+00
2.210000e+00  5.422459e+00  3.849708e-01
2.000000e-02  1.238264e+02  4.633151e+00
8.000000e-02  1.041253e+02  3.923725e+00
1.400000e-01  8.755220e+01  3.366967e+00
2.100000e-01  7.150859e+01  2.858241e+00
3.000000e-01  5.510829e+01  2.360208e+00
4.100000e-01  4.007502e+01  1.904794e+00
5.800000e-01  2.447228e+01  1.395035e+00
9.000000e-01  9.618530e+00  7.783754e-01
