# W  results  stat. err
3.153000e+01  6.798492e+01  1.014758e+00
9.711000e+01  5.233572e+02  7.883953e+00
1.246900e+02  8.149564e+02  1.235431e+01
1.601000e+02  1.259403e+03  1.908459e+01
4.931400e+02  7.823922e+03  1.091165e+02
6.332100e+02  1.130526e+04  1.523835e+02
8.130500e+02  1.606277e+04  2.082479e+02
4.050000e+01  1.073189e+02  1.583434e+00
4.590000e+01  1.348541e+02  1.987113e+00
5.200000e+01  1.693046e+02  2.497214e+00
2.990000e+02  3.581129e+03  5.261875e+01
3.390000e+02  4.379642e+03  6.365092e+01
3.840000e+02  5.330663e+03  7.652375e+01
5.040000e+01  2.270316e-01  5.055912e-03
7.310000e+01  4.294618e-01  9.774393e-03
1.299000e+02  1.204087e+00  3.057148e-02
1.933000e+02  2.494895e+00  7.045058e-02
3.912000e+02  8.997833e+00  3.080212e-01
4.320000e+01  1.759845e-01  3.943534e-03
5.000000e+01  2.240284e-01  4.989442e-03
5.730000e+01  2.819254e-01  6.291135e-03
6.530000e+01  3.528450e-01  7.938320e-03
7.390000e+01  4.377348e-01  9.975848e-03
8.320000e+01  5.395366e-01  1.250118e-02
9.330000e+01  6.617518e-01  1.563493e-02
1.043000e+02  8.085054e-01  1.952497e-02
4.250000e+01  1.713624e-01  3.844758e-03
5.500000e+01  2.629799e-01  5.860622e-03
6.500000e+01  3.500452e-01  7.872288e-03
7.500000e+01  4.492357e-01  1.025689e-02
8.500000e+01  5.604324e-01  1.302950e-02
1.000000e+02  7.494553e-01  1.794426e-02
1.175000e+02  1.003133e+00  2.486737e-02
1.325000e+02  1.248421e+00  3.185292e-02
1.550000e+02  1.663373e+00  4.419658e-02
1.850000e+02  2.301652e+00  6.419714e-02
2.150000e+02  3.033201e+00  8.827332e-02
2.450000e+02  3.853828e+00  1.163979e-01
2.750000e+02  4.759436e+00  1.484972e-01
4.260000e+02  1.047204e+01  3.657545e-01
4.830000e+02  1.306855e+01  4.690452e-01
5.470000e+02  1.623093e+01  5.965670e-01
6.200000e+02  2.012442e+01  7.547639e-01
7.020000e+02  2.481984e+01  9.456940e-01
7.960000e+02  3.056618e+01  1.177745e+00
9.020000e+02  3.744205e+01  1.451095e+00
1.022000e+03  4.564458e+01  1.768988e+00
1.158000e+03  5.536954e+01  2.132340e+00
1.312000e+03  6.679975e+01  2.538865e+00
5.809680e+02  1.800672e+01  6.686312e-01
6.583230e+02  2.227908e+01  8.424437e-01
7.459770e+02  2.746328e+01  1.052760e+00
8.453030e+02  3.371641e+01  1.303668e+00
9.578540e+02  4.120997e+01  1.598332e+00
1.085391e+03  5.012736e+01  1.938397e+00
1.229909e+03  6.065939e+01  2.323315e+00
1.393669e+03  7.299808e+01  2.749644e+00
1.579234e+03  8.732827e+01  3.210423e+00
1.000000e-01  9.502215e-02  4.327922e-02
2.900000e-01  9.349849e-02  2.697512e-02
5.200000e-01  9.094902e-02  1.703072e-02
7.800000e-01  7.787853e-02  1.010753e-02
1.120000e+00  5.828927e-02  5.671294e-03
1.550000e+00  3.721453e-02  2.914440e-03
2.210000e+00  1.875925e-02  1.264765e-03
2.000000e-02  1.853754e+00  2.700372e-02
8.000000e-02  1.375889e+00  2.103649e-02
1.400000e-01  1.038494e+00  1.727680e-02
2.100000e-01  7.577026e-01  1.427650e-02
3.000000e-01  5.105082e-01  1.144228e-02
4.100000e-01  3.193547e-01  8.869956e-03
5.800000e-01  1.574093e-01  5.966608e-03
9.000000e-01  4.339648e-02  2.746196e-03
