# W  results  stat. err
3.153000e+01  1.652011e+02  3.529418e+00
9.711000e+01  5.395327e+02  1.130455e+01
1.246900e+02  6.987820e+02  1.458202e+01
1.601000e+02  9.039755e+02  1.878606e+01
4.931400e+02  2.847800e+03  5.775438e+01
6.332100e+02  3.668157e+03  7.381245e+01
8.130500e+02  4.722611e+03  9.417152e+01
4.050000e+01  2.157073e+02  4.586789e+00
4.590000e+01  2.462838e+02  5.225223e+00
5.200000e+01  2.809412e+02  5.947558e+00
2.990000e+02  1.712835e+03  3.517623e+01
3.390000e+02  1.946400e+03  3.986008e+01
3.840000e+02  2.209363e+03  4.510939e+01
5.040000e+01  1.944717e-01  9.696146e-03
7.310000e+01  2.916890e-01  1.509446e-02
1.299000e+02  5.652687e-01  3.308366e-02
1.933000e+02  9.077510e-01  5.942880e-02
3.912000e+02  2.127367e+00  1.707607e-01
4.320000e+01  1.654799e-01  8.231821e-03
5.000000e+01  1.928359e-01  9.611476e-03
5.730000e+01  2.231327e-01  1.121570e-02
6.530000e+01  2.573593e-01  1.311223e-02
7.390000e+01  2.952609e-01  1.530498e-02
8.320000e+01  3.374451e-01  1.784808e-02
9.330000e+01  3.845643e-01  2.080386e-02
1.043000e+02  4.373146e-01  2.424321e-02
4.250000e+01  1.627139e-01  8.096380e-03
5.500000e+01  2.134876e-01  1.069695e-02
6.500000e+01  2.560574e-01  1.303858e-02
7.500000e+01  3.001873e-01  1.559661e-02
8.500000e+01  3.457459e-01  1.836030e-02
1.000000e+02  4.165234e-01  2.287202e-02
1.175000e+02  5.024324e-01  2.866000e-02
1.325000e+02  5.786368e-01  3.404376e-02
1.550000e+02  6.969114e-01  4.280226e-02
1.850000e+02  8.611345e-01  5.565356e-02
2.150000e+02  1.031817e+00  6.971689e-02
2.450000e+02  1.208090e+00  8.486506e-02
2.750000e+02  1.389247e+00  1.009831e-01
4.260000e+02  2.357362e+00  1.934421e-01
4.830000e+02  2.740954e+00  2.319022e-01
5.470000e+02  3.180144e+00  2.765997e-01
6.200000e+02  3.689849e+00  3.289594e-01
7.020000e+02  4.271005e+00  3.888398e-01
7.960000e+02  4.945483e+00  4.580555e-01
9.020000e+02  5.713349e+00  5.359158e-01
1.022000e+03  6.588236e+00  6.227997e-01
1.158000e+03  7.582867e+00  7.185836e-01
1.312000e+03  8.708639e+00  8.225435e-01
5.809680e+02  3.416285e+00  3.008156e-01
6.583230e+02  3.960467e+00  3.568448e-01
7.459770e+02  4.585623e+00  4.211931e-01
8.453030e+02  5.301865e+00  4.943480e-01
9.578540e+02  6.120035e+00  5.765787e-01
1.085391e+03  7.051667e+00  6.678578e-01
1.229909e+03  8.108853e+00  7.677759e-01
1.393669e+03  9.304100e+00  8.754583e-01
1.579234e+03  1.065012e+01  9.894930e-01
1.000000e-01  7.215169e-01  1.688169e-01
2.900000e-01  6.591210e-01  9.728642e-02
5.200000e-01  5.243858e-01  5.543874e-02
7.800000e-01  3.768209e-01  3.581188e-02
1.120000e+00  2.357397e-01  2.012400e-02
1.550000e+00  1.306016e-01  1.124865e-02
2.210000e+00  5.575706e-02  4.473535e-03
2.000000e-02  2.131554e+00  7.395488e-02
8.000000e-02  1.294011e+00  4.989088e-02
1.400000e-01  7.831357e-01  3.611024e-02
2.100000e-01  4.335895e-01  2.590293e-02
3.000000e-01  2.004953e-01  1.707749e-02
4.100000e-01  7.630472e-02  1.005581e-02
5.800000e-01  1.589366e-02  4.104066e-03
9.000000e-01  6.479616e-04  8.884847e-04
