# W  results  stat. err
3.153000e+01  2.268294e+03  3.467469e+01
9.711000e+01  3.345888e+03  5.247843e+01
1.246900e+02  3.662790e+03  5.733476e+01
1.601000e+02  4.013800e+03  6.258133e+01
4.931400e+02  6.160174e+03  9.401886e+01
6.332100e+02  6.807380e+03  1.038239e+02
8.130500e+02  7.538252e+03  1.152615e+02
4.050000e+01  2.465186e+03  3.812182e+01
4.590000e+01  2.571981e+03  3.994819e+01
5.200000e+01  2.684360e+03  4.184051e+01
2.990000e+02  5.072040e+03  7.802094e+01
3.390000e+02  5.322119e+03  8.166165e+01
3.840000e+02  5.584876e+03  8.550468e+01
5.040000e+01  2.186808e+00  6.598736e-02
7.310000e+01  2.526281e+00  7.890166e-02
1.299000e+02  3.220597e+00  1.134797e-01
1.933000e+02  3.851692e+00  1.517594e-01
3.912000e+02  5.370204e+00  2.600651e-01
4.320000e+01  2.066904e+00  6.231350e-02
5.000000e+01  2.180330e+00  6.577510e-02
5.730000e+01  2.295532e+00  6.975863e-02
6.530000e+01  2.415215e+00  7.432317e-02
7.390000e+01  2.537391e+00  7.937645e-02
8.320000e+01  2.663079e+00  8.494748e-02
9.330000e+01  2.793102e+00  9.107290e-02
1.043000e+02  2.928122e+00  9.779255e-02
4.250000e+01  2.054849e+00  6.197617e-02
5.500000e+01  2.259901e+00  6.848080e-02
6.500000e+01  2.410838e+00  7.414923e-02
7.500000e+01  2.552586e+00  8.003062e-02
8.500000e+01  2.686717e+00  8.603458e-02
1.000000e+02  2.876096e+00  9.516185e-02
1.175000e+02  3.082367e+00  1.058823e-01
1.325000e+02  3.248844e+00  1.150705e-01
1.550000e+02  3.483878e+00  1.287791e-01
1.850000e+02  3.774961e+00  1.468248e-01
2.150000e+02  4.045576e+00  1.645275e-01
2.450000e+02  4.299539e+00  1.818395e-01
2.750000e+02  4.539587e+00  1.987343e-01
4.260000e+02  5.595102e+00  2.771611e-01
4.830000e+02  5.944960e+00  3.039315e-01
5.470000e+02  6.314305e+00  3.322276e-01
6.200000e+02  6.710057e+00  3.623368e-01
7.020000e+02  7.127271e+00  3.935703e-01
7.960000e+02  7.575604e+00  4.262487e-01
9.020000e+02  8.048896e+00  4.594299e-01
1.022000e+03  8.549986e+00  4.927525e-01
1.158000e+03  9.080427e+00  5.256659e-01
1.312000e+03  9.640701e+00  5.574696e-01
5.809680e+02  6.501571e+00  3.465174e-01
6.583230e+02  6.908356e+00  3.772636e-01
7.459770e+02  7.340683e+00  4.092582e-01
8.453030e+02  7.799658e+00  4.421442e-01
9.578540e+02  8.286347e+00  4.754716e-01
1.085391e+03  8.801784e+00  5.086983e-01
1.229909e+03  9.346948e+00  5.411922e-01
1.393669e+03  9.922748e+00  5.722411e-01
1.579234e+03  1.053001e+01  6.010680e-01
1.000000e-01  1.171891e+00  3.826155e-01
2.900000e-01  2.805090e+00  3.028297e-01
5.200000e-01  3.053614e+00  1.902272e-01
7.800000e-01  2.729151e+00  1.349256e-01
1.120000e+00  2.239429e+00  9.671295e-02
1.550000e+00  1.703020e+00  7.180341e-02
2.210000e+00  1.206666e+00  5.593540e-02
2.000000e-02  1.825073e+01  1.658665e-01
8.000000e-02  1.091680e+01  1.842700e-01
1.400000e-01  6.541857e+00  1.803329e-01
2.100000e-01  3.608408e+00  1.552781e-01
3.000000e-01  1.686301e+00  1.128571e-01
4.100000e-01  6.697461e-01  7.093630e-02
5.800000e-01  1.630960e-01  3.383659e-02
9.000000e-01  1.376711e-02  9.836179e-03
