# W  results  stat. err
3.153000e+01  3.883706e+02  6.264394e+00
9.711000e+01  5.722840e+02  9.220214e+00
1.246900e+02  6.250574e+02  1.003817e+01
1.601000e+02  6.831689e+02  1.094063e+01
4.931400e+02  1.032869e+03  1.649522e+01
6.332100e+02  1.136874e+03  1.819989e+01
8.130500e+02  1.253721e+03  2.014683e+01
4.050000e+01  4.227685e+02  6.843359e+00
4.590000e+01  4.412320e+02  7.147080e+00
5.200000e+01  4.605359e+02  7.460340e+00
2.990000e+02  8.566405e+02  1.366484e+01
3.390000e+02  8.973124e+02  1.431190e+01
3.840000e+02  9.399312e+02  1.499381e+01
5.040000e+01  4.439482e-01  1.776778e-02
7.310000e+01  5.073717e-01  2.098135e-02
1.299000e+02  6.296331e-01  2.945794e-02
1.933000e+02  7.353201e-01  3.862215e-02
3.912000e+02  9.779471e-01  6.353419e-02
4.320000e+01  4.206853e-01  1.685298e-02
5.000000e+01  4.427047e-01  1.771488e-02
5.730000e+01  4.646145e-01  1.870779e-02
6.530000e+01  4.869618e-01  1.984418e-02
7.390000e+01  5.093973e-01  2.109910e-02
8.320000e+01  5.321296e-01  2.247795e-02
9.330000e+01  5.553184e-01  2.398801e-02
1.043000e+02  5.790856e-01  2.563720e-02
4.250000e+01  4.183156e-01  1.676917e-02
5.500000e+01  4.578825e-01  1.838933e-02
6.500000e+01  4.861513e-01  1.980093e-02
7.500000e+01  5.121634e-01  2.126127e-02
8.500000e+01  5.363689e-01  2.274641e-02
1.000000e+02  5.699632e-01  2.499247e-02
1.175000e+02  6.058910e-01  2.761259e-02
1.325000e+02  6.344547e-01  2.984317e-02
1.550000e+02  6.742153e-01  3.314654e-02
1.850000e+02  7.226732e-01  3.745262e-02
2.150000e+02  7.670669e-01  4.163301e-02
2.450000e+02  8.082414e-01  4.568165e-02
2.750000e+02  8.467853e-01  4.959700e-02
4.260000e+02  1.012996e+00  6.734586e-02
4.830000e+02  1.067217e+00  7.325252e-02
5.470000e+02  1.124125e+00  7.941417e-02
6.200000e+02  1.184801e+00  8.587823e-02
7.020000e+02  1.248508e+00  9.248101e-02
7.960000e+02  1.316756e+00  9.927290e-02
9.020000e+02  1.388652e+00  1.060396e-01
1.022000e+03  1.464693e+00  1.126909e-01
1.158000e+03  1.545197e+00  1.190993e-01
1.312000e+03  1.630339e+00  1.251103e-01
5.809680e+02  1.152871e+00  8.249395e-02
6.583230e+02  1.215109e+00  8.904700e-02
7.459770e+02  1.281017e+00  9.575683e-02
8.453030e+02  1.350805e+00  1.025314e-01
9.578540e+02  1.424690e+00  1.092607e-01
1.085391e+03  1.502901e+00  1.158172e-01
1.229909e+03  1.585678e+00  1.220584e-01
1.393669e+03  1.673274e+00  1.278295e-01
1.579234e+03  1.765951e+00  1.329676e-01
1.000000e-01  5.154566e-01  1.352530e-01
2.900000e-01  5.101093e-01  7.930668e-02
5.200000e-01  4.063628e-01  4.224189e-02
7.800000e-01  2.587535e-01  2.126577e-02
1.120000e+00  1.258889e-01  9.070212e-03
1.550000e+00  4.967950e-02  3.480526e-03
2.210000e+00  1.430202e-02  1.011640e-03
2.000000e-02  2.760825e+00  7.339734e-02
8.000000e-02  1.917186e+00  5.512193e-02
1.400000e-01  1.329982e+00  4.409243e-02
2.100000e-01  8.672030e-01  3.528372e-02
3.000000e-01  4.998311e-01  2.655738e-02
4.100000e-01  2.546290e-01  1.833082e-02
5.800000e-01  9.008195e-02  9.848910e-03
9.000000e-01  1.336044e-02  2.869418e-03
