# W  results  stat. err
3.153000e+01  3.967746e+03  6.947301e+01
9.711000e+01  9.889290e+03  1.656833e+02
1.246900e+02  1.200443e+04  1.988484e+02
1.601000e+02  1.454006e+04  2.366922e+02
4.931400e+02  3.336899e+04  4.935436e+02
6.332100e+02  3.979508e+04  5.827962e+02
8.130500e+02  4.728684e+04  6.923922e+02
4.050000e+01  4.897978e+03  8.434890e+01
4.590000e+01  5.432045e+03  9.301157e+01
5.200000e+01  6.015819e+03  1.025447e+02
2.990000e+02  2.322609e+04  3.570748e+02
3.390000e+02  2.546657e+04  3.871320e+02
3.840000e+02  2.788353e+04  4.195023e+02
5.040000e+01  1.236376e+01  3.149098e-01
7.310000e+01  1.728679e+01  4.542205e-01
1.299000e+02  3.039133e+01  8.785896e-01
1.933000e+02  4.572701e+01  1.435883e+00
3.912000e+02  9.452244e+01  3.405457e+00
4.320000e+01  1.086015e+01  2.758058e-01
5.000000e+01  1.227938e+01  3.126641e-01
5.730000e+01  1.383347e+01  3.548835e-01
6.530000e+01  1.556798e+01  4.039168e-01
7.390000e+01  1.746449e+01  4.595100e-01
8.320000e+01  1.954789e+01  5.226619e-01
9.330000e+01  2.184390e+01  5.944851e-01
1.043000e+02  2.437886e+01  6.761901e-01
4.250000e+01  1.071579e+01  2.721622e-01
5.500000e+01  1.334068e+01  3.413073e-01
6.500000e+01  1.550239e+01  4.020296e-01
7.500000e+01  1.770924e+01  4.668210e-01
8.500000e+01  1.995467e+01  5.352242e-01
1.000000e+02  2.338398e+01  6.438406e-01
1.175000e+02  2.746136e+01  7.785596e-01
1.325000e+02  3.100939e+01  9.000015e-01
1.550000e+02  3.640355e+01  1.091007e+00
1.850000e+02  4.369497e+01  1.359337e+00
2.150000e+02  5.106126e+01  1.639949e+00
2.450000e+02  5.847027e+01  1.929840e+00
2.750000e+02  6.589720e+01  2.226523e+00
4.260000e+02  1.029837e+02  3.759604e+00
4.830000e+02  1.166805e+02  4.334028e+00
5.470000e+02  1.317837e+02  4.965560e+00
6.200000e+02  1.486162e+02  5.662591e+00
7.020000e+02  1.669886e+02  6.410234e+00
7.960000e+02  1.873273e+02  7.216258e+00
9.020000e+02  2.093255e+02  8.056264e+00
1.022000e+03  2.330408e+02  8.918042e+00
1.158000e+03  2.584323e+02  9.782929e+00
1.312000e+03  2.853588e+02  1.062663e+01
5.809680e+02  1.396704e+02  5.293305e+00
6.583230e+02  1.572746e+02  6.016942e+00
7.459770e+02  1.766008e+02  6.794338e+00
8.453030e+02  1.976826e+02  7.616164e+00
9.578540e+02  2.205194e+02  8.469101e+00
1.085391e+03  2.450691e+02  9.335653e+00
1.229909e+03  2.712407e+02  1.019420e+01
1.393669e+03  2.988871e+02  1.101937e+01
1.579234e+03  3.277983e+02  1.178287e+01
1.000000e-01  6.229555e+00  2.260978e+00
2.900000e-01  3.980829e+00  1.221867e+00
5.200000e-01  2.655198e+00  6.521695e-01
7.800000e-01  1.826670e+00  3.528616e-01
1.120000e+00  1.176262e+00  1.741083e-01
1.550000e+00  7.031686e-01  8.088372e-02
2.210000e+00  3.562242e-01  3.256861e-02
2.000000e-02  6.146286e+01  1.381354e+00
8.000000e-02  4.828335e+01  1.090589e+00
1.400000e-01  3.814006e+01  8.725842e-01
2.100000e-01  2.914393e+01  6.832768e-01
3.000000e-01  2.079201e+01  5.100496e-01
4.100000e-01  1.390878e+01  3.668415e-01
5.800000e-01  7.623679e+00  2.304723e-01
9.000000e-01  2.604667e+00  1.071221e-01
