# W  results  stat. err
3.153000e+01  1.480558e+03  2.386534e+01
9.711000e+01  3.273682e+03  5.429092e+01
1.246900e+02  3.899524e+03  6.433632e+01
1.601000e+02  4.647135e+03  7.574844e+01
4.931400e+02  1.025129e+04  1.551087e+02
6.332100e+02  1.221165e+04  1.839706e+02
8.130500e+02  1.453582e+04  2.203366e+02
4.050000e+01  1.770467e+03  2.880853e+01
4.590000e+01  1.934745e+03  3.162836e+01
5.200000e+01  2.112932e+03  3.469115e+01
2.990000e+02  7.212203e+03  1.123363e+02
3.390000e+02  7.878403e+03  1.216198e+02
3.840000e+02  8.600106e+03  1.317019e+02
5.040000e+01  3.170811e+00  6.437165e-02
7.310000e+01  4.201438e+00  8.833893e-02
1.299000e+02  6.684711e+00  1.588796e-01
1.933000e+02  9.348748e+00  2.487948e-01
3.912000e+02  1.716689e+01  5.618022e-01
4.320000e+01  2.837052e+00  5.754491e-02
5.000000e+01  3.152370e+00  6.398068e-02
5.730000e+01  3.487240e+00  7.130592e-02
6.530000e+01  3.850509e+00  7.974760e-02
7.390000e+01  4.237264e+00  8.923853e-02
8.320000e+01  4.651651e+00  9.992814e-02
9.330000e+01  5.097667e+00  1.119832e-01
1.043000e+02  5.579164e+00  1.255847e-01
4.250000e+01  2.804386e+00  5.690701e-02
5.500000e+01  3.382105e+00  6.895616e-02
6.500000e+01  3.836950e+00  7.942397e-02
7.500000e+01  4.286477e+00  9.048081e-02
8.500000e+01  4.731433e+00  1.020440e-01
1.000000e+02  5.391443e+00  1.202124e-01
1.175000e+02  6.151677e+00  1.424867e-01
1.325000e+02  6.795926e+00  1.623751e-01
1.550000e+02  7.750926e+00  1.933822e-01
1.850000e+02  9.005251e+00  2.365438e-01
2.150000e+02  1.024004e+01  2.813599e-01
2.450000e+02  1.145700e+01  3.274555e-01
2.750000e+02  1.265740e+01  3.745238e-01
4.260000e+02  1.847791e+01  6.184222e-01
4.830000e+02  2.058932e+01  7.108519e-01
5.470000e+02  2.290974e+01  8.135165e-01
6.200000e+02  2.549557e+01  9.283778e-01
7.020000e+02  2.832772e+01  1.053739e+00
7.960000e+02  3.148620e+01  1.191877e+00
9.020000e+02  3.494269e+01  1.339809e+00
1.022000e+03  3.873073e+01  1.496744e+00
1.158000e+03  4.287534e+01  1.660898e+00
1.312000e+03  4.739283e+01  1.829501e+00
5.809680e+02  2.412079e+01  8.673040e-01
6.583230e+02  2.682843e+01  9.874911e-01
7.459770e+02  2.981672e+01  1.119147e+00
8.453030e+02  3.310729e+01  1.261750e+00
9.578540e+02  3.672176e+01  1.414264e+00
1.085391e+03  4.068148e+01  1.575065e+00
1.229909e+03  4.500706e+01  1.741872e+00
1.393669e+03  4.971788e+01  1.911717e+00
1.579234e+03  5.483151e+01  2.080941e+00
1.000000e-01  8.370182e-01  3.906365e-01
2.900000e-01  7.896921e-01  2.397377e-01
5.200000e-01  7.082410e-01  1.409820e-01
7.800000e-01  5.658236e-01  7.848433e-02
1.120000e+00  3.817085e-01  3.807128e-02
1.550000e+00  2.204601e-01  1.705695e-02
2.210000e+00  9.996634e-02  6.523490e-03
2.000000e-02  1.694389e+01  2.406288e-01
8.000000e-02  1.305737e+01  1.938594e-01
1.400000e-01  1.006660e+01  1.605601e-01
2.100000e-01  7.435481e+00  1.320135e-01
3.000000e-01  5.041168e+00  1.047410e-01
4.100000e-01  3.140308e+00  7.962151e-02
5.800000e-01  1.517015e+00  5.182900e-02
9.000000e-01  3.929352e-01  2.244990e-02
