# W  results  stat. err
3.153000e+01  5.727494e+02  1.037093e+01
9.711000e+01  6.996142e+02  1.258656e+01
1.246900e+02  7.338993e+02  1.318763e+01
1.601000e+02  7.708922e+02  1.383123e+01
4.931400e+02  9.834819e+02  1.756685e+01
6.332100e+02  1.044728e+03  1.868384e+01
8.130500e+02  1.112870e+03  1.995541e+01
4.050000e+01  5.975988e+02  1.079703e+01
4.590000e+01  6.106848e+02  1.102408e+01
5.200000e+01  6.241970e+02  1.125991e+01
2.990000e+02  8.779830e+02  1.569300e+01
3.390000e+02  9.025651e+02  1.612474e+01
3.840000e+02  9.281608e+02  1.657718e+01
5.040000e+01  9.756961e-01  3.127977e-02
7.310000e+01  1.053173e+00  3.482057e-02
1.299000e+02  1.209995e+00  4.499605e-02
1.933000e+02  1.346759e+00  5.594516e-02
3.912000e+02  1.650514e+00  8.415419e-02
4.320000e+01  9.487642e-01  3.044989e-02
5.000000e+01  9.742308e-01  3.122781e-02
5.730000e+01  1.000403e+00  3.225293e-02
6.530000e+01  1.027752e+00  3.351143e-02
7.390000e+01  1.055716e+00  3.495802e-02
8.320000e+01  1.084439e+00  3.658526e-02
9.330000e+01  1.114037e+00  3.839181e-02
1.043000e+02  1.144594e+00  4.037922e-02
4.250000e+01  9.460835e-01  3.038367e-02
5.500000e+01  9.922855e-01  3.191420e-02
6.500000e+01  1.026750e+00  3.346243e-02
7.500000e+01  1.059192e+00  3.514778e-02
8.500000e+01  1.089830e+00  3.690500e-02
1.000000e+02  1.132844e+00  3.960117e-02
1.175000e+02  1.179230e+00  4.276667e-02
1.325000e+02  1.216247e+00  4.546087e-02
1.550000e+02  1.267806e+00  4.943315e-02
1.850000e+02  1.330465e+00  5.456288e-02
2.150000e+02  1.387512e+00  5.948081e-02
2.450000e+02  1.439995e+00  6.418144e-02
2.750000e+02  1.488680e+00  6.866758e-02
4.260000e+02  1.692645e+00  8.825726e-02
4.830000e+02  1.756834e+00  9.450095e-02
5.470000e+02  1.822875e+00  1.008621e-01
6.200000e+02  1.891756e+00  1.073613e-01
7.020000e+02  1.962356e+00  1.138045e-01
7.960000e+02  2.036013e+00  1.202078e-01
9.020000e+02  2.111398e+00  1.263336e-01
1.022000e+03  2.188672e+00  1.320678e-01
1.158000e+03  2.267754e+00  1.372649e-01
1.312000e+03  2.348378e+00  1.417625e-01
5.809680e+02  1.855706e+00  1.039814e-01
6.583230e+02  1.925564e+00  1.104791e-01
7.459770e+02  1.997696e+00  1.169228e-01
8.453030e+02  2.071997e+00  1.231914e-01
9.578540e+02  2.148334e+00  1.291492e-01
1.085391e+03  2.226553e+00  1.346481e-01
1.229909e+03  2.306471e+00  1.395318e-01
1.393669e+03  2.387876e+00  1.436409e-01
1.579234e+03  2.470528e+00  1.468192e-01
1.000000e-01  6.899310e-01  2.074057e-01
2.900000e-01  4.528709e-01  1.113209e-01
5.200000e-01  2.917774e-01  5.774128e-02
7.800000e-01  1.835713e-01  2.953293e-02
1.120000e+00  1.024023e-01  1.327532e-02
1.550000e+00  5.101244e-02  5.397451e-03
2.210000e+00  2.125213e-02  1.805378e-03
2.000000e-02  4.037021e+00  1.153101e-01
8.000000e-02  3.124229e+00  9.017303e-02
1.400000e-01  2.424518e+00  7.134903e-02
2.100000e-01  1.809362e+00  5.502664e-02
3.000000e-01  1.247509e+00  4.013604e-02
4.100000e-01  7.967664e-01  2.791290e-02
5.800000e-01  4.029229e-01  1.645049e-02
9.000000e-01  1.153063e-01  6.477165e-03
