# W  results  stat. err
3.153000e+01  2.531486e+02  3.847556e+00
9.711000e+01  4.487644e+02  6.960270e+00
1.246900e+02  5.118460e+02  7.970058e+00
1.601000e+02  5.846999e+02  9.085405e+00
4.931400e+02  1.089883e+03  1.655873e+01
6.332100e+02  1.259669e+03  1.930254e+01
8.130500e+02  1.459859e+03  2.280935e+01
4.050000e+01  2.867522e+02  4.343425e+00
4.590000e+01  3.053729e+02  4.630921e+00
5.200000e+01  3.252691e+02  4.945307e+00
2.990000e+02  8.218141e+02  1.254338e+01
3.390000e+02  8.813740e+02  1.341208e+01
3.840000e+02  9.453023e+02  1.435637e+01
5.040000e+01  3.831467e-01  8.625419e-03
7.310000e+01  4.693694e-01  1.098005e-02
1.299000e+02  6.626180e-01  1.792053e-02
1.933000e+02  8.545333e-01  2.648990e-02
3.912000e+02  1.364736e+00  5.447711e-02
4.320000e+01  3.542206e-01  7.982905e-03
5.000000e+01  3.815623e-01  8.587955e-03
5.730000e+01  4.100927e-01  9.297949e-03
6.530000e+01  4.404960e-01  1.012882e-02
7.390000e+01  4.722912e-01  1.106931e-02
8.320000e+01  5.057593e-01  1.213021e-02
9.330000e+01  5.411526e-01  1.332445e-02
1.043000e+02  5.786970e-01  1.466642e-02
4.250000e+01  3.513604e-01  7.924552e-03
5.500000e+01  4.011894e-01  9.068635e-03
6.500000e+01  4.393709e-01  1.009683e-02
7.500000e+01  4.762972e-01  1.119260e-02
8.500000e+01  5.121365e-01  1.234007e-02
1.000000e+02  5.641375e-01  1.413718e-02
1.175000e+02  6.225269e-01  1.632406e-02
1.325000e+02  6.709017e-01  1.825950e-02
1.550000e+02  7.409812e-01  2.124486e-02
1.850000e+02  8.304736e-01  2.533961e-02
2.150000e+02  9.161558e-01  2.952366e-02
2.450000e+02  9.985831e-01  3.376258e-02
2.750000e+02  1.078169e+00  3.802957e-02
4.260000e+02  1.444992e+00  5.930121e-02
4.830000e+02  1.571833e+00  6.704201e-02
5.470000e+02  1.708160e+00  7.545408e-02
6.200000e+02  1.856731e+00  8.464343e-02
7.020000e+02  2.015868e+00  9.441280e-02
7.960000e+02  2.189418e+00  1.048677e-01
9.020000e+02  2.375129e+00  1.157013e-01
1.022000e+03  2.574149e+00  1.267733e-01
1.158000e+03  2.787083e+00  1.378667e-01
1.312000e+03  3.014034e+00  1.486974e-01
5.809680e+02  1.778156e+00  7.978601e-02
6.583230e+02  1.932064e+00  8.928361e-02
7.459770e+02  2.098171e+00  9.940361e-02
8.453030e+02  2.277034e+00  1.100318e-01
9.578540e+02  2.469155e+00  1.210093e-01
1.085391e+03  2.674966e+00  1.321305e-01
1.229909e+03  2.894811e+00  1.431431e-01
1.393669e+03  3.128927e+00  1.537519e-01
1.579234e+03  3.377421e+00  1.636262e-01
1.000000e-01  5.699517e-02  3.404781e-02
2.900000e-01  1.607508e-01  3.488940e-02
5.200000e-01  2.072849e-01  2.464353e-02
7.800000e-01  1.861539e-01  1.505111e-02
1.120000e+00  1.328619e-01  8.114546e-03
1.550000e+00  8.212072e-02  4.276029e-03
2.210000e+00  3.984495e-02  1.928416e-03
2.000000e-02  2.212387e+00  1.507552e-02
8.000000e-02  1.620692e+00  1.645886e-02
1.400000e-01  1.188033e+00  1.772767e-02
2.100000e-01  8.276974e-01  1.810014e-02
3.000000e-01  5.208471e-01  1.622872e-02
4.100000e-01  2.963433e-01  1.294425e-02
5.800000e-01  1.247328e-01  8.242715e-03
9.000000e-01  2.503620e-02  3.108763e-03
