# W  results  stat. err
3.153000e+01  8.079379e+03  1.203415e+02
9.711000e+01  1.192226e+04  1.739479e+02
1.246900e+02  1.304912e+04  1.900498e+02
1.601000e+02  1.430890e+04  2.069796e+02
4.931400e+02  2.219777e+04  3.051876e+02
6.332100e+02  2.461123e+04  3.370302e+02
8.130500e+02  2.734495e+04  3.755856e+02
4.050000e+01  8.793869e+03  1.290604e+02
4.590000e+01  9.177297e+03  1.341493e+02
5.200000e+01  9.578543e+03  1.396962e+02
2.990000e+02  1.816816e+04  2.550576e+02
3.390000e+02  1.909008e+04  2.663321e+02
3.840000e+02  2.006172e+04  2.782976e+02
5.040000e+01  1.111785e+01  2.594734e-01
7.310000e+01  1.296973e+01  3.130495e-01
1.299000e+02  1.687517e+01  4.639314e-01
1.933000e+02  2.055519e+01  6.389518e-01
3.912000e+02  2.989097e+01  1.166026e+00
4.320000e+01  1.047331e+01  2.448176e-01
5.000000e+01  1.108290e+01  2.586161e-01
5.730000e+01  1.170667e+01  2.748622e-01
6.530000e+01  1.235954e+01  2.937978e-01
7.390000e+01  1.303099e+01  3.150586e-01
8.320000e+01  1.372692e+01  3.387904e-01
9.330000e+01  1.445228e+01  3.651851e-01
1.043000e+02  1.521127e+01  3.944594e-01
4.250000e+01  1.040879e+01  2.434961e-01
5.500000e+01  1.151325e+01  2.696177e-01
6.500000e+01  1.233557e+01  2.930711e-01
7.500000e+01  1.311485e+01  3.178304e-01
8.500000e+01  1.385838e+01  3.434529e-01
1.000000e+02  1.491813e+01  3.829612e-01
1.175000e+02  1.608543e+01  4.300999e-01
1.325000e+02  1.703728e+01  4.710569e-01
1.550000e+02  1.839569e+01  5.330210e-01
1.850000e+02  2.010134e+01  6.160016e-01
2.150000e+02  2.170980e+01  6.988189e-01
2.450000e+02  2.323898e+01  7.810506e-01
2.750000e+02  2.470170e+01  8.624047e-01
4.260000e+02  3.132979e+01  1.252800e+00
4.830000e+02  3.359636e+01  1.390432e+00
5.470000e+02  3.602641e+01  1.538158e+00
6.200000e+02  3.867248e+01  1.697819e+00
7.020000e+02  4.150928e+01  1.866090e+00
7.960000e+02  4.461162e+01  2.045028e+00
9.020000e+02  4.794734e+01  2.229782e+00
1.022000e+03  5.154703e+01  2.418556e+00
1.158000e+03  5.543413e+01  2.608421e+00
1.312000e+03  5.962585e+01  2.795475e+00
5.809680e+02  3.727307e+01  1.613618e+00
6.583230e+02  4.001475e+01  1.777902e+00
7.459770e+02  4.297906e+01  1.951623e+00
8.453030e+02  4.618295e+01  2.133143e+00
9.578540e+02  4.964438e+01  2.320244e+00
1.085391e+03  5.338238e+01  2.510099e+00
1.229909e+03  5.741707e+01  2.699267e+00
1.393669e+03  6.176966e+01  2.883718e+00
1.579234e+03  6.646247e+01  3.058903e+00
1.000000e-01  4.600068e+00  1.767795e+00
2.900000e-01  4.499794e+00  8.948448e-01
5.200000e-01  3.490120e+00  4.168602e-01
7.800000e-01  2.173178e+00  1.851624e-01
1.120000e+00  1.093538e+00  7.275666e-02
1.550000e+00  5.062649e-01  2.941384e-02
2.210000e+00  2.217584e-01  1.261100e-02
2.000000e-02  7.954117e+01  1.241407e+00
8.000000e-02  5.138741e+01  8.888987e-01
1.400000e-01  3.361244e+01  6.911544e-01
2.100000e-01  2.073538e+01  5.382936e-01
3.000000e-01  1.130055e+01  3.876132e-01
4.100000e-01  5.469826e+00  2.531175e-01
5.800000e-01  1.829855e+00  1.256715e-01
9.000000e-01  2.496599e-01  3.247277e-02
