# W  results  stat. err
3.153000e+01  1.485724e+01  3.648014e-01
9.711000e+01  2.587276e+01  6.292981e-01
1.246900e+02  2.931268e+01  7.113819e-01
1.601000e+02  3.322141e+01  8.058920e-01
4.931400e+02  5.894397e+01  1.435801e+00
6.332100e+02  6.719972e+01  1.633491e+00
8.130500e+02  7.675270e+01  1.856841e+00
4.050000e+01  1.678725e+01  4.124163e-01
4.590000e+01  1.785009e+01  4.382367e-01
5.200000e+01  1.898042e+01  4.654658e-01
2.990000e+02  4.555138e+01  1.108535e+00
3.390000e+02  4.857062e+01  1.182775e+00
3.840000e+02  5.178192e+01  1.261518e+00
5.040000e+01  4.123757e-02  2.308244e-03
7.310000e+01  5.055785e-02  2.909918e-03
1.299000e+02  7.187467e-02  4.591205e-03
1.933000e+02  9.322070e-02  6.566942e-03
3.912000e+02  1.494253e-01  1.261923e-02
4.320000e+01  3.816571e-02  2.137521e-03
5.000000e+01  4.106839e-02  2.298408e-03
5.730000e+01  4.412821e-02  2.483030e-03
6.530000e+01  4.741567e-02  2.695384e-03
7.390000e+01  5.087675e-02  2.932267e-03
8.320000e+01  5.453997e-02  3.196009e-03
9.330000e+01  5.843144e-02  3.489305e-03
1.043000e+02  6.257468e-02  3.815054e-03
4.250000e+01  3.786408e-02  2.121749e-03
5.500000e+01  4.317044e-02  2.423776e-03
6.500000e+01  4.729360e-02  2.687267e-03
7.500000e+01  5.131423e-02  2.963091e-03
8.500000e+01  5.523992e-02  3.247806e-03
1.000000e+02  6.096634e-02  3.687031e-03
1.175000e+02  6.742652e-02  4.212640e-03
1.325000e+02  7.279469e-02  4.671086e-03
1.550000e+02  8.058609e-02  5.367841e-03
1.850000e+02  9.054419e-02  6.306385e-03
2.150000e+02  1.000711e-01  7.248368e-03
2.450000e+02  1.092174e-01  8.187916e-03
2.750000e+02  1.180225e-01  9.120710e-03
4.260000e+02  1.581156e-01  1.362139e-02
4.830000e+02  1.717424e-01  1.521069e-02
5.470000e+02  1.862302e-01  1.691441e-02
6.200000e+02  2.018198e-01  1.875088e-02
7.020000e+02  2.182740e-01  2.067809e-02
7.960000e+02  2.359165e-01  2.271475e-02
9.020000e+02  2.544313e-01  2.479974e-02
1.022000e+03  2.738393e-01  2.690613e-02
1.158000e+03  2.940908e-01  2.899353e-02
1.312000e+03  3.150731e-01  3.101049e-02
5.809680e+02  1.936016e-01  1.778317e-02
6.583230e+02  2.096413e-01  1.966932e-02
7.459770e+02  2.266808e-01  2.165349e-02
8.453030e+02  2.446993e-01  2.371170e-02
9.578540e+02  2.636573e-01  2.581252e-02
1.085391e+03  2.834948e-01  2.791695e-02
1.229909e+03  3.041292e-01  2.997868e-02
1.393669e+03  3.254527e-01  3.194485e-02
1.579234e+03  3.473313e-01  3.375751e-02
1.000000e-01  6.744465e-02  1.734310e-02
2.900000e-01  4.884868e-02  1.253959e-02
5.200000e-01  3.332687e-02  8.143910e-03
7.800000e-01  2.163988e-02  4.850586e-03
1.120000e+00  1.223113e-02  2.437035e-03
1.550000e+00  5.924117e-03  1.053574e-03
2.210000e+00  2.031369e-03  3.305021e-04
2.000000e-02  1.148332e-01  5.949659e-03
8.000000e-02  9.930329e-02  5.190723e-03
1.400000e-01  8.595333e-02  4.544004e-03
2.100000e-01  7.271528e-02  3.905343e-03
3.000000e-01  5.875302e-02  3.229929e-03
4.100000e-01  4.539629e-02  2.574389e-03
5.800000e-01  3.064353e-02  1.828850e-03
9.000000e-01  1.484140e-02  9.755876e-04
