# W  results  stat. err
3.153000e+01  6.185345e+02  9.204252e+00
9.711000e+01  1.394322e+03  2.044477e+01
1.246900e+02  1.660001e+03  2.422623e+01
1.601000e+02  1.972399e+03  2.860356e+01
4.931400e+02  4.229847e+03  6.018425e+01
6.332100e+02  5.009985e+03  7.166802e+01
8.130500e+02  5.939039e+03  8.594763e+01
4.050000e+01  7.443484e+02  1.103091e+01
4.590000e+01  8.157588e+02  1.206949e+01
5.200000e+01  8.932189e+02  1.319638e+01
2.990000e+02  3.016851e+03  4.304919e+01
3.390000e+02  3.283981e+03  4.676564e+01
3.840000e+02  3.572335e+03  5.080806e+01
5.040000e+01  8.281258e-01  2.800048e-02
7.310000e+01  1.096150e+00  3.826949e-02
1.299000e+02  1.705845e+00  6.738925e-02
1.933000e+02  2.323811e+00  1.032341e-01
3.912000e+02  4.020281e+00  2.226781e-01
4.320000e+01  7.385584e-01  2.500434e-02
5.000000e+01  8.232174e-01  2.783006e-02
5.730000e+01  9.116745e-01  3.100438e-02
6.530000e+01  1.006160e+00  3.462218e-02
7.390000e+01  1.105271e+00  3.864965e-02
8.320000e+01  1.209962e+00  4.314474e-02
9.330000e+01  1.321098e+00  4.817056e-02
1.043000e+02  1.439472e+00  5.379421e-02
4.250000e+01  7.297037e-01  2.472180e-02
5.500000e+01  8.840516e-01  2.999015e-02
6.500000e+01  1.002658e+00  3.448415e-02
7.500000e+01  1.117782e+00  3.917412e-02
8.500000e+01  1.229954e+00  4.402999e-02
1.000000e+02  1.393508e+00  5.157849e-02
1.175000e+02  1.578289e+00  6.072323e-02
1.325000e+02  1.732270e+00  6.880438e-02
1.550000e+02  1.956734e+00  8.127243e-02
1.850000e+02  2.245695e+00  9.840947e-02
2.150000e+02  2.524694e+00  1.159847e-01
2.450000e+02  2.795183e+00  1.338704e-01
2.750000e+02  3.058235e+00  1.519649e-01
4.260000e+02  4.293790e+00  2.437418e-01
4.830000e+02  4.729654e+00  2.778830e-01
5.470000e+02  5.203018e+00  3.155020e-01
6.200000e+02  5.724695e+00  3.572763e-01
7.020000e+02  6.290224e+00  4.025579e-01
7.960000e+02  6.915035e+00  4.521497e-01
9.020000e+02  7.593101e+00  5.049785e-01
1.022000e+03  8.330872e+00  5.607858e-01
1.158000e+03  9.133297e+00  6.189852e-01
1.312000e+03  1.000391e+01  6.786709e-01
5.809680e+02  5.448041e+00  3.351018e-01
6.583230e+02  5.991534e+00  3.786652e-01
7.459770e+02  6.585475e+00  4.260750e-01
8.453030e+02  7.233707e+00  4.771337e-01
9.578540e+02  7.940206e+00  5.314806e-01
1.085391e+03  8.709082e+00  5.885707e-01
1.229909e+03  9.544546e+00  6.476555e-01
1.393669e+03  1.045089e+01  7.077736e-01
1.579234e+03  1.143244e+01  7.677506e-01
1.000000e-01  7.709710e-01  2.333396e-01
2.900000e-01  7.762488e-01  1.286622e-01
5.200000e-01  5.454466e-01  5.894248e-02
7.800000e-01  2.877898e-01  2.366679e-02
1.120000e+00  1.133700e-01  7.870085e-03
1.550000e+00  3.767040e-02  2.614327e-03
2.210000e+00  1.206610e-02  7.935645e-04
2.000000e-02  6.360757e+00  1.397824e-01
8.000000e-02  4.305024e+00  1.061735e-01
1.400000e-01  2.913589e+00  8.587825e-02
2.100000e-01  1.847980e+00  6.876775e-02
3.000000e-01  1.029913e+00  5.035579e-02
4.100000e-01  5.053991e-01  3.299040e-02
5.800000e-01  1.701791e-01  1.617606e-02
9.000000e-01  2.363183e-02  4.036203e-03
